Latitude,Longitude,LWE
-46.50,17.50,--,2016-05-20
-46.50,18.50,--,2016-05-20
-46.50,19.50,--,2016-05-20
-46.50,20.50,--,2016-05-20
-46.50,21.50,--,2016-05-20
-46.50,22.50,--,2016-05-20
-46.50,23.50,--,2016-05-20
-46.50,24.50,--,2016-05-20
-46.50,25.50,--,2016-05-20
-46.50,26.50,--,2016-05-20
-46.50,27.50,--,2016-05-20
-46.50,28.50,--,2016-05-20
-46.50,29.50,--,2016-05-20
-46.50,30.50,--,2016-05-20
-46.50,31.50,--,2016-05-20
-46.50,32.50,--,2016-05-20
-46.50,33.50,--,2016-05-20
-46.50,34.50,--,2016-05-20
-46.50,35.50,--,2016-05-20
-46.50,36.50,--,2016-05-20
-46.50,37.50,--,2016-05-20
-45.50,17.50,--,2016-05-20
-45.50,18.50,--,2016-05-20
-45.50,19.50,--,2016-05-20
-45.50,20.50,--,2016-05-20
-45.50,21.50,--,2016-05-20
-45.50,22.50,--,2016-05-20
-45.50,23.50,--,2016-05-20
-45.50,24.50,--,2016-05-20
-45.50,25.50,--,2016-05-20
-45.50,26.50,--,2016-05-20
-45.50,27.50,--,2016-05-20
-45.50,28.50,--,2016-05-20
-45.50,29.50,--,2016-05-20
-45.50,30.50,--,2016-05-20
-45.50,31.50,--,2016-05-20
-45.50,32.50,--,2016-05-20
-45.50,33.50,--,2016-05-20
-45.50,34.50,--,2016-05-20
-45.50,35.50,--,2016-05-20
-45.50,36.50,--,2016-05-20
-45.50,37.50,--,2016-05-20
-44.50,17.50,--,2016-05-20
-44.50,18.50,--,2016-05-20
-44.50,19.50,--,2016-05-20
-44.50,20.50,--,2016-05-20
-44.50,21.50,--,2016-05-20
-44.50,22.50,--,2016-05-20
-44.50,23.50,--,2016-05-20
-44.50,24.50,--,2016-05-20
-44.50,25.50,--,2016-05-20
-44.50,26.50,--,2016-05-20
-44.50,27.50,--,2016-05-20
-44.50,28.50,--,2016-05-20
-44.50,29.50,--,2016-05-20
-44.50,30.50,--,2016-05-20
-44.50,31.50,--,2016-05-20
-44.50,32.50,--,2016-05-20
-44.50,33.50,--,2016-05-20
-44.50,34.50,--,2016-05-20
-44.50,35.50,--,2016-05-20
-44.50,36.50,--,2016-05-20
-44.50,37.50,--,2016-05-20
-43.50,17.50,--,2016-05-20
-43.50,18.50,--,2016-05-20
-43.50,19.50,--,2016-05-20
-43.50,20.50,--,2016-05-20
-43.50,21.50,--,2016-05-20
-43.50,22.50,--,2016-05-20
-43.50,23.50,--,2016-05-20
-43.50,24.50,--,2016-05-20
-43.50,25.50,--,2016-05-20
-43.50,26.50,--,2016-05-20
-43.50,27.50,--,2016-05-20
-43.50,28.50,--,2016-05-20
-43.50,29.50,--,2016-05-20
-43.50,30.50,--,2016-05-20
-43.50,31.50,--,2016-05-20
-43.50,32.50,--,2016-05-20
-43.50,33.50,--,2016-05-20
-43.50,34.50,--,2016-05-20
-43.50,35.50,--,2016-05-20
-43.50,36.50,--,2016-05-20
-43.50,37.50,--,2016-05-20
-42.50,17.50,--,2016-05-20
-42.50,18.50,--,2016-05-20
-42.50,19.50,--,2016-05-20
-42.50,20.50,--,2016-05-20
-42.50,21.50,--,2016-05-20
-42.50,22.50,--,2016-05-20
-42.50,23.50,--,2016-05-20
-42.50,24.50,--,2016-05-20
-42.50,25.50,--,2016-05-20
-42.50,26.50,--,2016-05-20
-42.50,27.50,--,2016-05-20
-42.50,28.50,--,2016-05-20
-42.50,29.50,--,2016-05-20
-42.50,30.50,--,2016-05-20
-42.50,31.50,--,2016-05-20
-42.50,32.50,--,2016-05-20
-42.50,33.50,--,2016-05-20
-42.50,34.50,--,2016-05-20
-42.50,35.50,--,2016-05-20
-42.50,36.50,--,2016-05-20
-42.50,37.50,--,2016-05-20
-41.50,17.50,--,2016-05-20
-41.50,18.50,--,2016-05-20
-41.50,19.50,--,2016-05-20
-41.50,20.50,--,2016-05-20
-41.50,21.50,--,2016-05-20
-41.50,22.50,--,2016-05-20
-41.50,23.50,--,2016-05-20
-41.50,24.50,--,2016-05-20
-41.50,25.50,--,2016-05-20
-41.50,26.50,--,2016-05-20
-41.50,27.50,--,2016-05-20
-41.50,28.50,--,2016-05-20
-41.50,29.50,--,2016-05-20
-41.50,30.50,--,2016-05-20
-41.50,31.50,--,2016-05-20
-41.50,32.50,--,2016-05-20
-41.50,33.50,--,2016-05-20
-41.50,34.50,--,2016-05-20
-41.50,35.50,--,2016-05-20
-41.50,36.50,--,2016-05-20
-41.50,37.50,--,2016-05-20
-40.50,17.50,--,2016-05-20
-40.50,18.50,--,2016-05-20
-40.50,19.50,--,2016-05-20
-40.50,20.50,--,2016-05-20
-40.50,21.50,--,2016-05-20
-40.50,22.50,--,2016-05-20
-40.50,23.50,--,2016-05-20
-40.50,24.50,--,2016-05-20
-40.50,25.50,--,2016-05-20
-40.50,26.50,--,2016-05-20
-40.50,27.50,--,2016-05-20
-40.50,28.50,--,2016-05-20
-40.50,29.50,--,2016-05-20
-40.50,30.50,--,2016-05-20
-40.50,31.50,--,2016-05-20
-40.50,32.50,--,2016-05-20
-40.50,33.50,--,2016-05-20
-40.50,34.50,--,2016-05-20
-40.50,35.50,--,2016-05-20
-40.50,36.50,--,2016-05-20
-40.50,37.50,--,2016-05-20
-39.50,17.50,--,2016-05-20
-39.50,18.50,--,2016-05-20
-39.50,19.50,--,2016-05-20
-39.50,20.50,--,2016-05-20
-39.50,21.50,--,2016-05-20
-39.50,22.50,--,2016-05-20
-39.50,23.50,--,2016-05-20
-39.50,24.50,--,2016-05-20
-39.50,25.50,--,2016-05-20
-39.50,26.50,--,2016-05-20
-39.50,27.50,--,2016-05-20
-39.50,28.50,--,2016-05-20
-39.50,29.50,--,2016-05-20
-39.50,30.50,--,2016-05-20
-39.50,31.50,--,2016-05-20
-39.50,32.50,--,2016-05-20
-39.50,33.50,--,2016-05-20
-39.50,34.50,--,2016-05-20
-39.50,35.50,--,2016-05-20
-39.50,36.50,--,2016-05-20
-39.50,37.50,--,2016-05-20
-38.50,17.50,--,2016-05-20
-38.50,18.50,--,2016-05-20
-38.50,19.50,--,2016-05-20
-38.50,20.50,--,2016-05-20
-38.50,21.50,--,2016-05-20
-38.50,22.50,--,2016-05-20
-38.50,23.50,--,2016-05-20
-38.50,24.50,--,2016-05-20
-38.50,25.50,--,2016-05-20
-38.50,26.50,--,2016-05-20
-38.50,27.50,--,2016-05-20
-38.50,28.50,--,2016-05-20
-38.50,29.50,--,2016-05-20
-38.50,30.50,--,2016-05-20
-38.50,31.50,--,2016-05-20
-38.50,32.50,--,2016-05-20
-38.50,33.50,--,2016-05-20
-38.50,34.50,--,2016-05-20
-38.50,35.50,--,2016-05-20
-38.50,36.50,--,2016-05-20
-38.50,37.50,--,2016-05-20
-37.50,17.50,--,2016-05-20
-37.50,18.50,--,2016-05-20
-37.50,19.50,--,2016-05-20
-37.50,20.50,--,2016-05-20
-37.50,21.50,--,2016-05-20
-37.50,22.50,--,2016-05-20
-37.50,23.50,--,2016-05-20
-37.50,24.50,--,2016-05-20
-37.50,25.50,--,2016-05-20
-37.50,26.50,--,2016-05-20
-37.50,27.50,--,2016-05-20
-37.50,28.50,--,2016-05-20
-37.50,29.50,--,2016-05-20
-37.50,30.50,--,2016-05-20
-37.50,31.50,--,2016-05-20
-37.50,32.50,--,2016-05-20
-37.50,33.50,--,2016-05-20
-37.50,34.50,--,2016-05-20
-37.50,35.50,--,2016-05-20
-37.50,36.50,--,2016-05-20
-37.50,37.50,--,2016-05-20
-36.50,17.50,-0.00045,2016-05-20
-36.50,18.50,0.00112,2016-05-20
-36.50,19.50,0.00207,2016-05-20
-36.50,20.50,0.00251,2016-05-20
-36.50,21.50,0.00276,2016-05-20
-36.50,22.50,0.00327,2016-05-20
-36.50,23.50,0.00460,2016-05-20
-36.50,24.50,--,2016-05-20
-36.50,25.50,--,2016-05-20
-36.50,26.50,--,2016-05-20
-36.50,27.50,--,2016-05-20
-36.50,28.50,--,2016-05-20
-36.50,29.50,--,2016-05-20
-36.50,30.50,--,2016-05-20
-36.50,31.50,--,2016-05-20
-36.50,32.50,--,2016-05-20
-36.50,33.50,--,2016-05-20
-36.50,34.50,--,2016-05-20
-36.50,35.50,--,2016-05-20
-36.50,36.50,--,2016-05-20
-36.50,37.50,--,2016-05-20
-35.50,17.50,-0.00276,2016-05-20
-35.50,18.50,-0.00144,2016-05-20
-35.50,19.50,-0.00090,2016-05-20
-35.50,20.50,-0.00092,2016-05-20
-35.50,21.50,-0.00103,2016-05-20
-35.50,22.50,-0.00051,2016-05-20
-35.50,23.50,0.00139,2016-05-20
-35.50,24.50,0.00520,2016-05-20
-35.50,25.50,0.01101,2016-05-20
-35.50,26.50,0.01835,2016-05-20
-35.50,27.50,0.02625,2016-05-20
-35.50,28.50,0.03349,2016-05-20
-35.50,29.50,--,2016-05-20
-35.50,30.50,--,2016-05-20
-35.50,31.50,--,2016-05-20
-35.50,32.50,--,2016-05-20
-35.50,33.50,--,2016-05-20
-35.50,34.50,--,2016-05-20
-35.50,35.50,--,2016-05-20
-35.50,36.50,--,2016-05-20
-35.50,37.50,--,2016-05-20
-34.50,17.50,-0.00480,2016-05-20
-34.50,18.50,-0.00450,2016-05-20
-34.50,19.50,-0.00494,2016-05-20
-34.50,20.50,-0.00581,2016-05-20
-34.50,21.50,-0.00644,2016-05-20
-34.50,22.50,-0.00598,2016-05-20
-34.50,23.50,-0.00357,2016-05-20
-34.50,24.50,0.00134,2016-05-20
-34.50,25.50,0.00869,2016-05-20
-34.50,26.50,0.01774,2016-05-20
-34.50,27.50,0.02723,2016-05-20
-34.50,28.50,0.03564,2016-05-20
-34.50,29.50,0.04163,2016-05-20
-34.50,30.50,--,2016-05-20
-34.50,31.50,--,2016-05-20
-34.50,32.50,--,2016-05-20
-34.50,33.50,--,2016-05-20
-34.50,34.50,--,2016-05-20
-34.50,35.50,--,2016-05-20
-34.50,36.50,--,2016-05-20
-34.50,37.50,--,2016-05-20
-33.50,17.50,-0.00623,2016-05-20
-33.50,18.50,-0.00742,2016-05-20
-33.50,19.50,-0.00911,2016-05-20
-33.50,20.50,-0.01089,2016-05-20
-33.50,21.50,-0.01209,2016-05-20
-33.50,22.50,-0.01183,2016-05-20
-33.50,23.50,-0.00927,2016-05-20
-33.50,24.50,-0.00396,2016-05-20
-33.50,25.50,0.00398,2016-05-20
-33.50,26.50,0.01372,2016-05-20
-33.50,27.50,0.02393,2016-05-20
-33.50,28.50,0.03308,2016-05-20
-33.50,29.50,0.03983,2016-05-20
-33.50,30.50,0.04332,2016-05-20
-33.50,31.50,0.04336,2016-05-20
-33.50,32.50,--,2016-05-20
-33.50,33.50,--,2016-05-20
