Latitude,Longitude,LWE
-46.50,17.50,--,2014-08-16
-46.50,18.50,--,2014-08-16
-46.50,19.50,--,2014-08-16
-46.50,20.50,--,2014-08-16
-46.50,21.50,--,2014-08-16
-46.50,22.50,--,2014-08-16
-46.50,23.50,--,2014-08-16
-46.50,24.50,--,2014-08-16
-46.50,25.50,--,2014-08-16
-46.50,26.50,--,2014-08-16
-46.50,27.50,--,2014-08-16
-46.50,28.50,--,2014-08-16
-46.50,29.50,--,2014-08-16
-46.50,30.50,--,2014-08-16
-46.50,31.50,--,2014-08-16
-46.50,32.50,--,2014-08-16
-46.50,33.50,--,2014-08-16
-46.50,34.50,--,2014-08-16
-46.50,35.50,--,2014-08-16
-46.50,36.50,--,2014-08-16
-46.50,37.50,--,2014-08-16
-45.50,17.50,--,2014-08-16
-45.50,18.50,--,2014-08-16
-45.50,19.50,--,2014-08-16
-45.50,20.50,--,2014-08-16
-45.50,21.50,--,2014-08-16
-45.50,22.50,--,2014-08-16
-45.50,23.50,--,2014-08-16
-45.50,24.50,--,2014-08-16
-45.50,25.50,--,2014-08-16
-45.50,26.50,--,2014-08-16
-45.50,27.50,--,2014-08-16
-45.50,28.50,--,2014-08-16
-45.50,29.50,--,2014-08-16
-45.50,30.50,--,2014-08-16
-45.50,31.50,--,2014-08-16
-45.50,32.50,--,2014-08-16
-45.50,33.50,--,2014-08-16
-45.50,34.50,--,2014-08-16
-45.50,35.50,--,2014-08-16
-45.50,36.50,--,2014-08-16
-45.50,37.50,--,2014-08-16
-44.50,17.50,--,2014-08-16
-44.50,18.50,--,2014-08-16
-44.50,19.50,--,2014-08-16
-44.50,20.50,--,2014-08-16
-44.50,21.50,--,2014-08-16
-44.50,22.50,--,2014-08-16
-44.50,23.50,--,2014-08-16
-44.50,24.50,--,2014-08-16
-44.50,25.50,--,2014-08-16
-44.50,26.50,--,2014-08-16
-44.50,27.50,--,2014-08-16
-44.50,28.50,--,2014-08-16
-44.50,29.50,--,2014-08-16
-44.50,30.50,--,2014-08-16
-44.50,31.50,--,2014-08-16
-44.50,32.50,--,2014-08-16
-44.50,33.50,--,2014-08-16
-44.50,34.50,--,2014-08-16
-44.50,35.50,--,2014-08-16
-44.50,36.50,--,2014-08-16
-44.50,37.50,--,2014-08-16
-43.50,17.50,--,2014-08-16
-43.50,18.50,--,2014-08-16
-43.50,19.50,--,2014-08-16
-43.50,20.50,--,2014-08-16
-43.50,21.50,--,2014-08-16
-43.50,22.50,--,2014-08-16
-43.50,23.50,--,2014-08-16
-43.50,24.50,--,2014-08-16
-43.50,25.50,--,2014-08-16
-43.50,26.50,--,2014-08-16
-43.50,27.50,--,2014-08-16
-43.50,28.50,--,2014-08-16
-43.50,29.50,--,2014-08-16
-43.50,30.50,--,2014-08-16
-43.50,31.50,--,2014-08-16
-43.50,32.50,--,2014-08-16
-43.50,33.50,--,2014-08-16
-43.50,34.50,--,2014-08-16
-43.50,35.50,--,2014-08-16
-43.50,36.50,--,2014-08-16
-43.50,37.50,--,2014-08-16
-42.50,17.50,--,2014-08-16
-42.50,18.50,--,2014-08-16
-42.50,19.50,--,2014-08-16
-42.50,20.50,--,2014-08-16
-42.50,21.50,--,2014-08-16
-42.50,22.50,--,2014-08-16
-42.50,23.50,--,2014-08-16
-42.50,24.50,--,2014-08-16
-42.50,25.50,--,2014-08-16
-42.50,26.50,--,2014-08-16
-42.50,27.50,--,2014-08-16
-42.50,28.50,--,2014-08-16
-42.50,29.50,--,2014-08-16
-42.50,30.50,--,2014-08-16
-42.50,31.50,--,2014-08-16
-42.50,32.50,--,2014-08-16
-42.50,33.50,--,2014-08-16
-42.50,34.50,--,2014-08-16
-42.50,35.50,--,2014-08-16
-42.50,36.50,--,2014-08-16
-42.50,37.50,--,2014-08-16
-41.50,17.50,--,2014-08-16
-41.50,18.50,--,2014-08-16
-41.50,19.50,--,2014-08-16
-41.50,20.50,--,2014-08-16
-41.50,21.50,--,2014-08-16
-41.50,22.50,--,2014-08-16
-41.50,23.50,--,2014-08-16
-41.50,24.50,--,2014-08-16
-41.50,25.50,--,2014-08-16
-41.50,26.50,--,2014-08-16
-41.50,27.50,--,2014-08-16
-41.50,28.50,--,2014-08-16
-41.50,29.50,--,2014-08-16
-41.50,30.50,--,2014-08-16
-41.50,31.50,--,2014-08-16
-41.50,32.50,--,2014-08-16
-41.50,33.50,--,2014-08-16
-41.50,34.50,--,2014-08-16
-41.50,35.50,--,2014-08-16
-41.50,36.50,--,2014-08-16
-41.50,37.50,--,2014-08-16
-40.50,17.50,--,2014-08-16
-40.50,18.50,--,2014-08-16
-40.50,19.50,--,2014-08-16
-40.50,20.50,--,2014-08-16
-40.50,21.50,--,2014-08-16
-40.50,22.50,--,2014-08-16
-40.50,23.50,--,2014-08-16
-40.50,24.50,--,2014-08-16
-40.50,25.50,--,2014-08-16
-40.50,26.50,--,2014-08-16
-40.50,27.50,--,2014-08-16
-40.50,28.50,--,2014-08-16
-40.50,29.50,--,2014-08-16
-40.50,30.50,--,2014-08-16
-40.50,31.50,--,2014-08-16
-40.50,32.50,--,2014-08-16
-40.50,33.50,--,2014-08-16
-40.50,34.50,--,2014-08-16
-40.50,35.50,--,2014-08-16
-40.50,36.50,--,2014-08-16
-40.50,37.50,--,2014-08-16
-39.50,17.50,--,2014-08-16
-39.50,18.50,--,2014-08-16
-39.50,19.50,--,2014-08-16
-39.50,20.50,--,2014-08-16
-39.50,21.50,--,2014-08-16
-39.50,22.50,--,2014-08-16
-39.50,23.50,--,2014-08-16
-39.50,24.50,--,2014-08-16
-39.50,25.50,--,2014-08-16
-39.50,26.50,--,2014-08-16
-39.50,27.50,--,2014-08-16
-39.50,28.50,--,2014-08-16
-39.50,29.50,--,2014-08-16
-39.50,30.50,--,2014-08-16
-39.50,31.50,--,2014-08-16
-39.50,32.50,--,2014-08-16
-39.50,33.50,--,2014-08-16
-39.50,34.50,--,2014-08-16
-39.50,35.50,--,2014-08-16
-39.50,36.50,--,2014-08-16
-39.50,37.50,--,2014-08-16
-38.50,17.50,--,2014-08-16
-38.50,18.50,--,2014-08-16
-38.50,19.50,--,2014-08-16
-38.50,20.50,--,2014-08-16
-38.50,21.50,--,2014-08-16
-38.50,22.50,--,2014-08-16
-38.50,23.50,--,2014-08-16
-38.50,24.50,--,2014-08-16
-38.50,25.50,--,2014-08-16
-38.50,26.50,--,2014-08-16
-38.50,27.50,--,2014-08-16
-38.50,28.50,--,2014-08-16
-38.50,29.50,--,2014-08-16
-38.50,30.50,--,2014-08-16
-38.50,31.50,--,2014-08-16
-38.50,32.50,--,2014-08-16
-38.50,33.50,--,2014-08-16
-38.50,34.50,--,2014-08-16
-38.50,35.50,--,2014-08-16
-38.50,36.50,--,2014-08-16
-38.50,37.50,--,2014-08-16
-37.50,17.50,--,2014-08-16
-37.50,18.50,--,2014-08-16
-37.50,19.50,--,2014-08-16
-37.50,20.50,--,2014-08-16
-37.50,21.50,--,2014-08-16
-37.50,22.50,--,2014-08-16
-37.50,23.50,--,2014-08-16
-37.50,24.50,--,2014-08-16
-37.50,25.50,--,2014-08-16
-37.50,26.50,--,2014-08-16
-37.50,27.50,--,2014-08-16
-37.50,28.50,--,2014-08-16
-37.50,29.50,--,2014-08-16
-37.50,30.50,--,2014-08-16
-37.50,31.50,--,2014-08-16
-37.50,32.50,--,2014-08-16
-37.50,33.50,--,2014-08-16
-37.50,34.50,--,2014-08-16
-37.50,35.50,--,2014-08-16
-37.50,36.50,--,2014-08-16
-37.50,37.50,--,2014-08-16
-36.50,17.50,0.01106,2014-08-16
-36.50,18.50,0.00771,2014-08-16
-36.50,19.50,0.00501,2014-08-16
-36.50,20.50,0.00289,2014-08-16
-36.50,21.50,0.00126,2014-08-16
-36.50,22.50,0.00021,2014-08-16
-36.50,23.50,-0.00005,2014-08-16
-36.50,24.50,--,2014-08-16
-36.50,25.50,--,2014-08-16
-36.50,26.50,--,2014-08-16
-36.50,27.50,--,2014-08-16
-36.50,28.50,--,2014-08-16
-36.50,29.50,--,2014-08-16
-36.50,30.50,--,2014-08-16
-36.50,31.50,--,2014-08-16
-36.50,32.50,--,2014-08-16
-36.50,33.50,--,2014-08-16
-36.50,34.50,--,2014-08-16
-36.50,35.50,--,2014-08-16
-36.50,36.50,--,2014-08-16
-36.50,37.50,--,2014-08-16
-35.50,17.50,0.01835,2014-08-16
-35.50,18.50,0.01430,2014-08-16
-35.50,19.50,0.01040,2014-08-16
-35.50,20.50,0.00666,2014-08-16
-35.50,21.50,0.00319,2014-08-16
-35.50,22.50,0.00029,2014-08-16
-35.50,23.50,-0.00154,2014-08-16
-35.50,24.50,-0.00173,2014-08-16
-35.50,25.50,0.00016,2014-08-16
-35.50,26.50,0.00426,2014-08-16
-35.50,27.50,0.01025,2014-08-16
-35.50,28.50,0.01739,2014-08-16
-35.50,29.50,--,2014-08-16
-35.50,30.50,--,2014-08-16
-35.50,31.50,--,2014-08-16
-35.50,32.50,--,2014-08-16
-35.50,33.50,--,2014-08-16
-35.50,34.50,--,2014-08-16
-35.50,35.50,--,2014-08-16
-35.50,36.50,--,2014-08-16
-35.50,37.50,--,2014-08-16
-34.50,17.50,0.02206,2014-08-16
-34.50,18.50,0.01740,2014-08-16
-34.50,19.50,0.01254,2014-08-16
-34.50,20.50,0.00756,2014-08-16
-34.50,21.50,0.00274,2014-08-16
-34.50,22.50,-0.00145,2014-08-16
-34.50,23.50,-0.00435,2014-08-16
-34.50,24.50,-0.00530,2014-08-16
-34.50,25.50,-0.00382,2014-08-16
-34.50,26.50,0.00015,2014-08-16
-34.50,27.50,0.00622,2014-08-16
-34.50,28.50,0.01358,2014-08-16
-34.50,29.50,0.02125,2014-08-16
-34.50,30.50,--,2014-08-16
-34.50,31.50,--,2014-08-16
-34.50,32.50,--,2014-08-16
-34.50,33.50,--,2014-08-16
-34.50,34.50,--,2014-08-16
-34.50,35.50,--,2014-08-16
-34.50,36.50,--,2014-08-16
-34.50,37.50,--,2014-08-16
-33.50,17.50,0.02133,2014-08-16
-33.50,18.50,0.01638,2014-08-16
-33.50,19.50,0.01110,2014-08-16
-33.50,20.50,0.00566,2014-08-16
-33.50,21.50,0.00034,2014-08-16
-33.50,22.50,-0.00434,2014-08-16
-33.50,23.50,-0.00771,2014-08-16
-33.50,24.50,-0.00911,2014-08-16
-33.50,25.50,-0.00811,2014-08-16
-33.50,26.50,-0.00464,2014-08-16
-33.50,27.50,0.00092,2014-08-16
-33.50,28.50,0.00788,2014-08-16
-33.50,29.50,0.01542,2014-08-16
-33.50,30.50,0.02280,2014-08-16
-33.50,31.50,0.02946,2014-08-16
-33.50,32.50,--,2014-08-16
-33.50,33.50,--,2014-08-16
-33.50,34.50,--,2014-08-16
-33.50,35.50,--,2014-08-16
-33.50,36.50,--,2014-08-16
-33.50,37.50,--,2014-08-16
-32.50,17.50,0.01718,2014-08-16
-32.50,18.50,0.01234,2014-08-16
-32.50,19.50,0.00734,2014-08-16
-32.50,20.50,0.00230,2014-08-16
-32.50,21.50,-0.00257,2014-08-16
-32.50,22.50,-0.00689,2014-08-16
-32.50,23.50,-0.01013,2014-08-16
-32.50,24.50,-0.01176,2014-08-16
-32.50,25.50,-0.01141,2014-08-16
-32.50,26.50,-0.00898,2014-08-16
-32.50,27.50,-0.00466,2014-08-16
-32.50,28.50,0.00115,2014-08-16
-32.50,29.50,0.00798,2014-08-16
-32.50,30.50,0.01538,2014-08-16
-32.50,31.50,0.02294,2014-08-16
-32.50,32.50,--,2014-08-16
-32.50,33.50,--,2014-08-16
-32.50,34.50,--,2014-08-16
-32.50,35.50,--,2014-08-16
-32.50,36.50,--,2014-08-16
-32.50,37.50,--,2014-08-16
-31.50,17.50,0.01145,2014-08-16
-31.50,18.50,0.00701,2014-08-16
-31.50,19.50,0.00278,2014-08-16
-31.50,20.50,-0.00121,2014-08-16
-31.50,21.50,-0.00493,2014-08-16
-31.50,22.50,-0.00823,2014-08-16
-31.50,23.50,-0.01086,2014-08-16
-31.50,24.50,-0.01249,2014-08-16
-31.50,25.50,-0.01287,2014-08-16
-31.50,26.50,-0.01181,2014-08-16
-31.50,27.50,-0.00924,2014-08-16
-31.50,28.50,-0.00516,2014-08-16
-31.50,29.50,0.00040,2014-08-16
-31.50,30.50,0.00734,2014-08-16
-31.50,31.50,0.01543,2014-08-16
-31.50,32.50,0.02420,2014-08-16
-31.50,33.50,--,2014-08-16
-31.50,34.50,--,2014-08-16
-31.50,35.50,--,2014-08-16
-31.50,36.50,--,2014-08-16
-31.50,37.50,--,2014-08-16
-30.50,17.50,0.00576,2014-08-16
-30.50,18.50,0.00162,2014-08-16
-30.50,19.50,-0.00186,2014-08-16
-30.50,20.50,-0.00472,2014-08-16
-30.50,21.50,-0.00710,2014-08-16
-30.50,22.50,-0.00909,2014-08-16
-30.50,23.50,-0.01074,2014-08-16
-30.50,24.50,-0.01202,2014-08-16
-30.50,25.50,-0.01283,2014-08-16
-30.50,26.50,-0.01296,2014-08-16
-30.50,27.50,-0.01210,2014-08-16
-30.50,28.50,-0.00984,2014-08-16
-30.50,29.50,-0.00580,2014-08-16
-30.50,30.50,0.00024,2014-08-16
-30.50,31.50,0.00821,2014-08-16
-30.50,32.50,0.01760,2014-08-16
-30.50,33.50,0.02756,2014-08-16
-30.50,34.50,--,2014-08-16
-30.50,35.50,--,2014-08-16
-30.50,36.50,--,2014-08-16
-30.50,37.50,--,2014-08-16
-29.50,17.50,0.00102,2014-08-16
-29.50,18.50,-0.00333,2014-08-16
-29.50,19.50,-0.00665,2014-08-16
-29.50,20.50,-0.00893,2014-08-16
-29.50,21.50,-0.01033,2014-08-16
-29.50,22.50,-0.01111,2014-08-16
-29.50,23.50,-0.01157,2014-08-16
-29.50,24.50,-0.01201,2014-08-16
-29.50,25.50,-0.01254,2014-08-16
-29.50,26.50,-0.01308,2014-08-16
-29.50,27.50,-0.01319,2014-08-16
-29.50,28.50,-0.01224,2014-08-16
-29.50,29.50,-0.00954,2014-08-16
-29.50,30.50,-0.00462,2014-08-16
-29.50,31.50,0.00256,2014-08-16
-29.50,32.50,0.01155,2014-08-16
-29.50,33.50,0.02148,2014-08-16
-29.50,34.50,0.03136,2014-08-16
-29.50,35.50,--,2014-08-16
-29.50,36.50,--,2014-08-16
-29.50,37.50,--,2014-08-16
-28.50,17.50,-0.00204,2014-08-16
-28.50,18.50,-0.00732,2014-08-16
-28.50,19.50,-0.01140,2014-08-16
-28.50,20.50,-0.01403,2014-08-16
-28.50,21.50,-0.01519,2014-08-16
-28.50,22.50,-0.01513,2014-08-16
-28.50,23.50,-0.01434,2014-08-16
-28.50,24.50,-0.01341,2014-08-16
-28.50,25.50,-0.01280,2014-08-16
-28.50,26.50,-0.01266,2014-08-16
-28.50,27.50,-0.01268,2014-08-16
-28.50,28.50,-0.01218,2014-08-16
-28.50,29.50,-0.01035,2014-08-16
-28.50,30.50,-0.00656,2014-08-16
-28.50,31.50,-0.00066,2014-08-16
-28.50,32.50,0.00702,2014-08-16
-28.50,33.50,0.01578,2014-08-16
-28.50,34.50,0.02484,2014-08-16
-28.50,35.50,--,2014-08-16
-28.50,36.50,--,2014-08-16
-28.50,37.50,--,2014-08-16
-27.50,17.50,-0.00242,2014-08-16
-27.50,18.50,-0.00918,2014-08-16
-27.50,19.50,-0.01477,2014-08-16
-27.50,20.50,-0.01854,2014-08-16
-27.50,21.50,-0.02018,2014-08-16
-27.50,22.50,-0.01977,2014-08-16
-27.50,23.50,-0.01786,2014-08-16
-27.50,24.50,-0.01531,2014-08-16
-27.50,25.50,-0.01296,2014-08-16
-27.50,26.50,-0.01135,2014-08-16
-27.50,27.50,-0.01045,2014-08-16
-27.50,28.50,-0.00972,2014-08-16
-27.50,29.50,-0.00837,2014-08-16
-27.50,30.50,-0.00571,2014-08-16
-27.50,31.50,-0.00143,2014-08-16
-27.50,32.50,0.00434,2014-08-16
-27.50,33.50,0.01116,2014-08-16
-27.50,34.50,0.01857,2014-08-16
-27.50,35.50,0.02624,2014-08-16
-27.50,36.50,--,2014-08-16
-27.50,37.50,--,2014-08-16
-26.50,17.50,0.00105,2014-08-16
-26.50,18.50,-0.00723,2014-08-16
-26.50,19.50,-0.01448,2014-08-16
-26.50,20.50,-0.01971,2014-08-16
-26.50,21.50,-0.02220,2014-08-16
-26.50,22.50,-0.02186,2014-08-16
-26.50,23.50,-0.01920,2014-08-16
-26.50,24.50,-0.01529,2014-08-16
-26.50,25.50,-0.01131,2014-08-16
-26.50,26.50,-0.00819,2014-08-16
-26.50,27.50,-0.00626,2014-08-16
-26.50,28.50,-0.00522,2014-08-16
-26.50,29.50,-0.00438,2014-08-16
-26.50,30.50,-0.00301,2014-08-16
-26.50,31.50,-0.00060,2014-08-16
-26.50,32.50,0.00296,2014-08-16
-26.50,33.50,0.00755,2014-08-16
-26.50,34.50,0.01298,2014-08-16
-26.50,35.50,0.01913,2014-08-16
-26.50,36.50,0.02591,2014-08-16
-26.50,37.50,--,2014-08-16
-25.50,17.50,0.00881,2014-08-16
-25.50,18.50,-0.00040,2014-08-16
-25.50,19.50,-0.00882,2014-08-16
-25.50,20.50,-0.01516,2014-08-16
-25.50,21.50,-0.01850,2014-08-16
-25.50,22.50,-0.01855,2014-08-16
-25.50,23.50,-0.01580,2014-08-16
-25.50,24.50,-0.01138,2014-08-16
-25.50,25.50,-0.00667,2014-08-16
-25.50,26.50,-0.00286,2014-08-16
-25.50,27.50,-0.00059,2014-08-16
-25.50,28.50,0.00021,2014-08-16
-25.50,29.50,0.00012,2014-08-16
-25.50,30.50,-0.00006,2014-08-16
-25.50,31.50,0.00034,2014-08-16
-25.50,32.50,0.00174,2014-08-16
-25.50,33.50,0.00427,2014-08-16
-25.50,34.50,0.00790,2014-08-16
-25.50,35.50,0.01251,2014-08-16
-25.50,36.50,0.01790,2014-08-16
-25.50,37.50,--,2014-08-16
-24.50,17.50,0.01993,2014-08-16
-24.50,18.50,0.01068,2014-08-16
-24.50,19.50,0.00203,2014-08-16
-24.50,20.50,-0.00475,2014-08-16
-24.50,21.50,-0.00869,2014-08-16
-24.50,22.50,-0.00947,2014-08-16
-24.50,23.50,-0.00749,2014-08-16
-24.50,24.50,-0.00381,2014-08-16
-24.50,25.50,0.00022,2014-08-16
-24.50,26.50,0.00337,2014-08-16
-24.50,27.50,0.00490,2014-08-16
-24.50,28.50,0.00471,2014-08-16
-24.50,29.50,0.00327,2014-08-16
-24.50,30.50,0.00142,2014-08-16
-24.50,31.50,0.00000,2014-08-16
-24.50,32.50,-0.00034,2014-08-16
-24.50,33.50,0.00070,2014-08-16
-24.50,34.50,0.00310,2014-08-16
-24.50,35.50,0.00658,2014-08-16
-24.50,36.50,0.01061,2014-08-16
-24.50,37.50,--,2014-08-16
-23.50,17.50,0.03224,2014-08-16
-23.50,18.50,0.02381,2014-08-16
-23.50,19.50,0.01575,2014-08-16
-23.50,20.50,0.00916,2014-08-16
-23.50,21.50,0.00479,2014-08-16
-23.50,22.50,0.00291,2014-08-16
-23.50,23.50,0.00318,2014-08-16
-23.50,24.50,0.00481,2014-08-16
-23.50,25.50,0.00676,2014-08-16
-23.50,26.50,0.00802,2014-08-16
-23.50,27.50,0.00791,2014-08-16
-23.50,28.50,0.00628,2014-08-16
-23.50,29.50,0.00350,2014-08-16
-23.50,30.50,0.00034,2014-08-16
-23.50,31.50,-0.00227,2014-08-16
-23.50,32.50,-0.00356,2014-08-16
-23.50,33.50,-0.00315,2014-08-16
-23.50,34.50,-0.00116,2014-08-16
-23.50,35.50,0.00183,2014-08-16
-23.50,36.50,0.00492,2014-08-16
-23.50,37.50,--,2014-08-16
-22.50,17.50,0.04358,2014-08-16
-22.50,18.50,0.03640,2014-08-16
-22.50,19.50,0.02933,2014-08-16
-22.50,20.50,0.02316,2014-08-16
-22.50,21.50,0.01832,2014-08-16
-22.50,22.50,0.01492,2014-08-16
-22.50,23.50,0.01276,2014-08-16
-22.50,24.50,0.01141,2014-08-16
-22.50,25.50,0.01035,2014-08-16
-22.50,26.50,0.00901,2014-08-16
-22.50,27.50,0.00694,2014-08-16
-22.50,28.50,0.00399,2014-08-16
-22.50,29.50,0.00037,2014-08-16
-22.50,30.50,-0.00329,2014-08-16
-22.50,31.50,-0.00615,2014-08-16
-22.50,32.50,-0.00742,2014-08-16
-22.50,33.50,-0.00674,2014-08-16
-22.50,34.50,-0.00437,2014-08-16
-22.50,35.50,-0.00117,2014-08-16
-22.50,36.50,0.00161,2014-08-16
-22.50,37.50,--,2014-08-16
