Latitude,Longitude,LWE
-46.50,17.50,--,2006-12-16
-46.50,18.50,--,2006-12-16
-46.50,19.50,--,2006-12-16
-46.50,20.50,--,2006-12-16
-46.50,21.50,--,2006-12-16
-46.50,22.50,--,2006-12-16
-46.50,23.50,--,2006-12-16
-46.50,24.50,--,2006-12-16
-46.50,25.50,--,2006-12-16
-46.50,26.50,--,2006-12-16
-46.50,27.50,--,2006-12-16
-46.50,28.50,--,2006-12-16
-46.50,29.50,--,2006-12-16
-46.50,30.50,--,2006-12-16
-46.50,31.50,--,2006-12-16
-46.50,32.50,--,2006-12-16
-46.50,33.50,--,2006-12-16
-46.50,34.50,--,2006-12-16
-46.50,35.50,--,2006-12-16
-46.50,36.50,--,2006-12-16
-46.50,37.50,--,2006-12-16
-45.50,17.50,--,2006-12-16
-45.50,18.50,--,2006-12-16
-45.50,19.50,--,2006-12-16
-45.50,20.50,--,2006-12-16
-45.50,21.50,--,2006-12-16
-45.50,22.50,--,2006-12-16
-45.50,23.50,--,2006-12-16
-45.50,24.50,--,2006-12-16
-45.50,25.50,--,2006-12-16
-45.50,26.50,--,2006-12-16
-45.50,27.50,--,2006-12-16
-45.50,28.50,--,2006-12-16
-45.50,29.50,--,2006-12-16
-45.50,30.50,--,2006-12-16
-45.50,31.50,--,2006-12-16
-45.50,32.50,--,2006-12-16
-45.50,33.50,--,2006-12-16
-45.50,34.50,--,2006-12-16
-45.50,35.50,--,2006-12-16
-45.50,36.50,--,2006-12-16
-45.50,37.50,--,2006-12-16
-44.50,17.50,--,2006-12-16
-44.50,18.50,--,2006-12-16
-44.50,19.50,--,2006-12-16
-44.50,20.50,--,2006-12-16
-44.50,21.50,--,2006-12-16
-44.50,22.50,--,2006-12-16
-44.50,23.50,--,2006-12-16
-44.50,24.50,--,2006-12-16
-44.50,25.50,--,2006-12-16
-44.50,26.50,--,2006-12-16
-44.50,27.50,--,2006-12-16
-44.50,28.50,--,2006-12-16
-44.50,29.50,--,2006-12-16
-44.50,30.50,--,2006-12-16
-44.50,31.50,--,2006-12-16
-44.50,32.50,--,2006-12-16
-44.50,33.50,--,2006-12-16
-44.50,34.50,--,2006-12-16
-44.50,35.50,--,2006-12-16
-44.50,36.50,--,2006-12-16
-44.50,37.50,--,2006-12-16
-43.50,17.50,--,2006-12-16
-43.50,18.50,--,2006-12-16
-43.50,19.50,--,2006-12-16
-43.50,20.50,--,2006-12-16
-43.50,21.50,--,2006-12-16
-43.50,22.50,--,2006-12-16
-43.50,23.50,--,2006-12-16
-43.50,24.50,--,2006-12-16
-43.50,25.50,--,2006-12-16
-43.50,26.50,--,2006-12-16
-43.50,27.50,--,2006-12-16
-43.50,28.50,--,2006-12-16
-43.50,29.50,--,2006-12-16
-43.50,30.50,--,2006-12-16
-43.50,31.50,--,2006-12-16
-43.50,32.50,--,2006-12-16
-43.50,33.50,--,2006-12-16
-43.50,34.50,--,2006-12-16
-43.50,35.50,--,2006-12-16
-43.50,36.50,--,2006-12-16
-43.50,37.50,--,2006-12-16
-42.50,17.50,--,2006-12-16
-42.50,18.50,--,2006-12-16
-42.50,19.50,--,2006-12-16
-42.50,20.50,--,2006-12-16
-42.50,21.50,--,2006-12-16
-42.50,22.50,--,2006-12-16
-42.50,23.50,--,2006-12-16
-42.50,24.50,--,2006-12-16
-42.50,25.50,--,2006-12-16
-42.50,26.50,--,2006-12-16
-42.50,27.50,--,2006-12-16
-42.50,28.50,--,2006-12-16
-42.50,29.50,--,2006-12-16
-42.50,30.50,--,2006-12-16
-42.50,31.50,--,2006-12-16
-42.50,32.50,--,2006-12-16
-42.50,33.50,--,2006-12-16
-42.50,34.50,--,2006-12-16
-42.50,35.50,--,2006-12-16
-42.50,36.50,--,2006-12-16
-42.50,37.50,--,2006-12-16
-41.50,17.50,--,2006-12-16
-41.50,18.50,--,2006-12-16
-41.50,19.50,--,2006-12-16
-41.50,20.50,--,2006-12-16
-41.50,21.50,--,2006-12-16
-41.50,22.50,--,2006-12-16
-41.50,23.50,--,2006-12-16
-41.50,24.50,--,2006-12-16
-41.50,25.50,--,2006-12-16
-41.50,26.50,--,2006-12-16
-41.50,27.50,--,2006-12-16
-41.50,28.50,--,2006-12-16
-41.50,29.50,--,2006-12-16
-41.50,30.50,--,2006-12-16
-41.50,31.50,--,2006-12-16
-41.50,32.50,--,2006-12-16
-41.50,33.50,--,2006-12-16
-41.50,34.50,--,2006-12-16
-41.50,35.50,--,2006-12-16
-41.50,36.50,--,2006-12-16
-41.50,37.50,--,2006-12-16
-40.50,17.50,--,2006-12-16
-40.50,18.50,--,2006-12-16
-40.50,19.50,--,2006-12-16
-40.50,20.50,--,2006-12-16
-40.50,21.50,--,2006-12-16
-40.50,22.50,--,2006-12-16
-40.50,23.50,--,2006-12-16
-40.50,24.50,--,2006-12-16
-40.50,25.50,--,2006-12-16
-40.50,26.50,--,2006-12-16
-40.50,27.50,--,2006-12-16
-40.50,28.50,--,2006-12-16
-40.50,29.50,--,2006-12-16
-40.50,30.50,--,2006-12-16
-40.50,31.50,--,2006-12-16
-40.50,32.50,--,2006-12-16
-40.50,33.50,--,2006-12-16
-40.50,34.50,--,2006-12-16
-40.50,35.50,--,2006-12-16
-40.50,36.50,--,2006-12-16
-40.50,37.50,--,2006-12-16
-39.50,17.50,--,2006-12-16
-39.50,18.50,--,2006-12-16
-39.50,19.50,--,2006-12-16
-39.50,20.50,--,2006-12-16
-39.50,21.50,--,2006-12-16
-39.50,22.50,--,2006-12-16
-39.50,23.50,--,2006-12-16
-39.50,24.50,--,2006-12-16
-39.50,25.50,--,2006-12-16
-39.50,26.50,--,2006-12-16
-39.50,27.50,--,2006-12-16
-39.50,28.50,--,2006-12-16
-39.50,29.50,--,2006-12-16
-39.50,30.50,--,2006-12-16
-39.50,31.50,--,2006-12-16
-39.50,32.50,--,2006-12-16
-39.50,33.50,--,2006-12-16
-39.50,34.50,--,2006-12-16
-39.50,35.50,--,2006-12-16
-39.50,36.50,--,2006-12-16
-39.50,37.50,--,2006-12-16
-38.50,17.50,--,2006-12-16
-38.50,18.50,--,2006-12-16
-38.50,19.50,--,2006-12-16
-38.50,20.50,--,2006-12-16
-38.50,21.50,--,2006-12-16
-38.50,22.50,--,2006-12-16
-38.50,23.50,--,2006-12-16
-38.50,24.50,--,2006-12-16
-38.50,25.50,--,2006-12-16
-38.50,26.50,--,2006-12-16
-38.50,27.50,--,2006-12-16
-38.50,28.50,--,2006-12-16
-38.50,29.50,--,2006-12-16
-38.50,30.50,--,2006-12-16
-38.50,31.50,--,2006-12-16
-38.50,32.50,--,2006-12-16
-38.50,33.50,--,2006-12-16
-38.50,34.50,--,2006-12-16
-38.50,35.50,--,2006-12-16
-38.50,36.50,--,2006-12-16
-38.50,37.50,--,2006-12-16
-37.50,17.50,--,2006-12-16
-37.50,18.50,--,2006-12-16
-37.50,19.50,--,2006-12-16
-37.50,20.50,--,2006-12-16
-37.50,21.50,--,2006-12-16
-37.50,22.50,--,2006-12-16
-37.50,23.50,--,2006-12-16
-37.50,24.50,--,2006-12-16
-37.50,25.50,--,2006-12-16
-37.50,26.50,--,2006-12-16
-37.50,27.50,--,2006-12-16
-37.50,28.50,--,2006-12-16
-37.50,29.50,--,2006-12-16
-37.50,30.50,--,2006-12-16
-37.50,31.50,--,2006-12-16
-37.50,32.50,--,2006-12-16
-37.50,33.50,--,2006-12-16
-37.50,34.50,--,2006-12-16
-37.50,35.50,--,2006-12-16
-37.50,36.50,--,2006-12-16
-37.50,37.50,--,2006-12-16
-36.50,17.50,0.00119,2006-12-16
-36.50,18.50,-0.00316,2006-12-16
-36.50,19.50,-0.00649,2006-12-16
-36.50,20.50,-0.00909,2006-12-16
-36.50,21.50,-0.01138,2006-12-16
-36.50,22.50,-0.01377,2006-12-16
-36.50,23.50,-0.01650,2006-12-16
-36.50,24.50,--,2006-12-16
-36.50,25.50,--,2006-12-16
-36.50,26.50,--,2006-12-16
-36.50,27.50,--,2006-12-16
-36.50,28.50,--,2006-12-16
-36.50,29.50,--,2006-12-16
-36.50,30.50,--,2006-12-16
-36.50,31.50,--,2006-12-16
-36.50,32.50,--,2006-12-16
-36.50,33.50,--,2006-12-16
-36.50,34.50,--,2006-12-16
-36.50,35.50,--,2006-12-16
-36.50,36.50,--,2006-12-16
-36.50,37.50,--,2006-12-16
-35.50,17.50,0.00505,2006-12-16
-35.50,18.50,0.00185,2006-12-16
-35.50,19.50,-0.00080,2006-12-16
-35.50,20.50,-0.00310,2006-12-16
-35.50,21.50,-0.00535,2006-12-16
-35.50,22.50,-0.00780,2006-12-16
-35.50,23.50,-0.01057,2006-12-16
-35.50,24.50,-0.01362,2006-12-16
-35.50,25.50,-0.01685,2006-12-16
-35.50,26.50,-0.02016,2006-12-16
-35.50,27.50,-0.02351,2006-12-16
-35.50,28.50,-0.02693,2006-12-16
-35.50,29.50,--,2006-12-16
-35.50,30.50,--,2006-12-16
-35.50,31.50,--,2006-12-16
-35.50,32.50,--,2006-12-16
-35.50,33.50,--,2006-12-16
-35.50,34.50,--,2006-12-16
-35.50,35.50,--,2006-12-16
-35.50,36.50,--,2006-12-16
-35.50,37.50,--,2006-12-16
-34.50,17.50,0.00920,2006-12-16
-34.50,18.50,0.00764,2006-12-16
-34.50,19.50,0.00606,2006-12-16
-34.50,20.50,0.00431,2006-12-16
-34.50,21.50,0.00227,2006-12-16
-34.50,22.50,-0.00014,2006-12-16
-34.50,23.50,-0.00288,2006-12-16
-34.50,24.50,-0.00583,2006-12-16
-34.50,25.50,-0.00889,2006-12-16
-34.50,26.50,-0.01207,2006-12-16
-34.50,27.50,-0.01547,2006-12-16
-34.50,28.50,-0.01928,2006-12-16
-34.50,29.50,-0.02360,2006-12-16
-34.50,30.50,--,2006-12-16
-34.50,31.50,--,2006-12-16
-34.50,32.50,--,2006-12-16
-34.50,33.50,--,2006-12-16
-34.50,34.50,--,2006-12-16
-34.50,35.50,--,2006-12-16
-34.50,36.50,--,2006-12-16
-34.50,37.50,--,2006-12-16
-33.50,17.50,0.01208,2006-12-16
-33.50,18.50,0.01193,2006-12-16
-33.50,19.50,0.01130,2006-12-16
-33.50,20.50,0.01020,2006-12-16
-33.50,21.50,0.00861,2006-12-16
-33.50,22.50,0.00661,2006-12-16
-33.50,23.50,0.00434,2006-12-16
-33.50,24.50,0.00197,2006-12-16
-33.50,25.50,-0.00048,2006-12-16
-33.50,26.50,-0.00315,2006-12-16
-33.50,27.50,-0.00632,2006-12-16
