Latitude,Longitude,LWE
-46.50,17.50,--,2007-05-16
-46.50,18.50,--,2007-05-16
-46.50,19.50,--,2007-05-16
-46.50,20.50,--,2007-05-16
-46.50,21.50,--,2007-05-16
-46.50,22.50,--,2007-05-16
-46.50,23.50,--,2007-05-16
-46.50,24.50,--,2007-05-16
-46.50,25.50,--,2007-05-16
-46.50,26.50,--,2007-05-16
-46.50,27.50,--,2007-05-16
-46.50,28.50,--,2007-05-16
-46.50,29.50,--,2007-05-16
-46.50,30.50,--,2007-05-16
-46.50,31.50,--,2007-05-16
-46.50,32.50,--,2007-05-16
-46.50,33.50,--,2007-05-16
-46.50,34.50,--,2007-05-16
-46.50,35.50,--,2007-05-16
-46.50,36.50,--,2007-05-16
-46.50,37.50,--,2007-05-16
-45.50,17.50,--,2007-05-16
-45.50,18.50,--,2007-05-16
-45.50,19.50,--,2007-05-16
-45.50,20.50,--,2007-05-16
-45.50,21.50,--,2007-05-16
-45.50,22.50,--,2007-05-16
-45.50,23.50,--,2007-05-16
-45.50,24.50,--,2007-05-16
-45.50,25.50,--,2007-05-16
-45.50,26.50,--,2007-05-16
-45.50,27.50,--,2007-05-16
-45.50,28.50,--,2007-05-16
-45.50,29.50,--,2007-05-16
-45.50,30.50,--,2007-05-16
-45.50,31.50,--,2007-05-16
-45.50,32.50,--,2007-05-16
-45.50,33.50,--,2007-05-16
-45.50,34.50,--,2007-05-16
-45.50,35.50,--,2007-05-16
-45.50,36.50,--,2007-05-16
-45.50,37.50,--,2007-05-16
-44.50,17.50,--,2007-05-16
-44.50,18.50,--,2007-05-16
-44.50,19.50,--,2007-05-16
-44.50,20.50,--,2007-05-16
-44.50,21.50,--,2007-05-16
-44.50,22.50,--,2007-05-16
-44.50,23.50,--,2007-05-16
-44.50,24.50,--,2007-05-16
-44.50,25.50,--,2007-05-16
-44.50,26.50,--,2007-05-16
-44.50,27.50,--,2007-05-16
-44.50,28.50,--,2007-05-16
-44.50,29.50,--,2007-05-16
-44.50,30.50,--,2007-05-16
-44.50,31.50,--,2007-05-16
-44.50,32.50,--,2007-05-16
-44.50,33.50,--,2007-05-16
-44.50,34.50,--,2007-05-16
-44.50,35.50,--,2007-05-16
-44.50,36.50,--,2007-05-16
-44.50,37.50,--,2007-05-16
-43.50,17.50,--,2007-05-16
-43.50,18.50,--,2007-05-16
-43.50,19.50,--,2007-05-16
-43.50,20.50,--,2007-05-16
-43.50,21.50,--,2007-05-16
-43.50,22.50,--,2007-05-16
-43.50,23.50,--,2007-05-16
-43.50,24.50,--,2007-05-16
-43.50,25.50,--,2007-05-16
-43.50,26.50,--,2007-05-16
-43.50,27.50,--,2007-05-16
-43.50,28.50,--,2007-05-16
-43.50,29.50,--,2007-05-16
-43.50,30.50,--,2007-05-16
-43.50,31.50,--,2007-05-16
-43.50,32.50,--,2007-05-16
-43.50,33.50,--,2007-05-16
-43.50,34.50,--,2007-05-16
-43.50,35.50,--,2007-05-16
-43.50,36.50,--,2007-05-16
-43.50,37.50,--,2007-05-16
-42.50,17.50,--,2007-05-16
-42.50,18.50,--,2007-05-16
-42.50,19.50,--,2007-05-16
-42.50,20.50,--,2007-05-16
-42.50,21.50,--,2007-05-16
-42.50,22.50,--,2007-05-16
-42.50,23.50,--,2007-05-16
-42.50,24.50,--,2007-05-16
-42.50,25.50,--,2007-05-16
-42.50,26.50,--,2007-05-16
-42.50,27.50,--,2007-05-16
-42.50,28.50,--,2007-05-16
-42.50,29.50,--,2007-05-16
-42.50,30.50,--,2007-05-16
-42.50,31.50,--,2007-05-16
-42.50,32.50,--,2007-05-16
-42.50,33.50,--,2007-05-16
-42.50,34.50,--,2007-05-16
-42.50,35.50,--,2007-05-16
-42.50,36.50,--,2007-05-16
-42.50,37.50,--,2007-05-16
-41.50,17.50,--,2007-05-16
-41.50,18.50,--,2007-05-16
-41.50,19.50,--,2007-05-16
-41.50,20.50,--,2007-05-16
-41.50,21.50,--,2007-05-16
-41.50,22.50,--,2007-05-16
-41.50,23.50,--,2007-05-16
-41.50,24.50,--,2007-05-16
-41.50,25.50,--,2007-05-16
-41.50,26.50,--,2007-05-16
-41.50,27.50,--,2007-05-16
-41.50,28.50,--,2007-05-16
-41.50,29.50,--,2007-05-16
-41.50,30.50,--,2007-05-16
-41.50,31.50,--,2007-05-16
-41.50,32.50,--,2007-05-16
-41.50,33.50,--,2007-05-16
-41.50,34.50,--,2007-05-16
-41.50,35.50,--,2007-05-16
-41.50,36.50,--,2007-05-16
-41.50,37.50,--,2007-05-16
-40.50,17.50,--,2007-05-16
-40.50,18.50,--,2007-05-16
-40.50,19.50,--,2007-05-16
-40.50,20.50,--,2007-05-16
-40.50,21.50,--,2007-05-16
-40.50,22.50,--,2007-05-16
-40.50,23.50,--,2007-05-16
-40.50,24.50,--,2007-05-16
-40.50,25.50,--,2007-05-16
-40.50,26.50,--,2007-05-16
-40.50,27.50,--,2007-05-16
-40.50,28.50,--,2007-05-16
-40.50,29.50,--,2007-05-16
-40.50,30.50,--,2007-05-16
-40.50,31.50,--,2007-05-16
-40.50,32.50,--,2007-05-16
-40.50,33.50,--,2007-05-16
-40.50,34.50,--,2007-05-16
-40.50,35.50,--,2007-05-16
-40.50,36.50,--,2007-05-16
-40.50,37.50,--,2007-05-16
-39.50,17.50,--,2007-05-16
-39.50,18.50,--,2007-05-16
-39.50,19.50,--,2007-05-16
-39.50,20.50,--,2007-05-16
-39.50,21.50,--,2007-05-16
-39.50,22.50,--,2007-05-16
-39.50,23.50,--,2007-05-16
-39.50,24.50,--,2007-05-16
-39.50,25.50,--,2007-05-16
-39.50,26.50,--,2007-05-16
-39.50,27.50,--,2007-05-16
-39.50,28.50,--,2007-05-16
-39.50,29.50,--,2007-05-16
-39.50,30.50,--,2007-05-16
-39.50,31.50,--,2007-05-16
-39.50,32.50,--,2007-05-16
-39.50,33.50,--,2007-05-16
-39.50,34.50,--,2007-05-16
-39.50,35.50,--,2007-05-16
-39.50,36.50,--,2007-05-16
-39.50,37.50,--,2007-05-16
-38.50,17.50,--,2007-05-16
-38.50,18.50,--,2007-05-16
-38.50,19.50,--,2007-05-16
-38.50,20.50,--,2007-05-16
-38.50,21.50,--,2007-05-16
-38.50,22.50,--,2007-05-16
-38.50,23.50,--,2007-05-16
-38.50,24.50,--,2007-05-16
-38.50,25.50,--,2007-05-16
-38.50,26.50,--,2007-05-16
-38.50,27.50,--,2007-05-16
-38.50,28.50,--,2007-05-16
-38.50,29.50,--,2007-05-16
-38.50,30.50,--,2007-05-16
-38.50,31.50,--,2007-05-16
-38.50,32.50,--,2007-05-16
-38.50,33.50,--,2007-05-16
-38.50,34.50,--,2007-05-16
-38.50,35.50,--,2007-05-16
-38.50,36.50,--,2007-05-16
-38.50,37.50,--,2007-05-16
-37.50,17.50,--,2007-05-16
-37.50,18.50,--,2007-05-16
-37.50,19.50,--,2007-05-16
-37.50,20.50,--,2007-05-16
-37.50,21.50,--,2007-05-16
-37.50,22.50,--,2007-05-16
-37.50,23.50,--,2007-05-16
-37.50,24.50,--,2007-05-16
-37.50,25.50,--,2007-05-16
-37.50,26.50,--,2007-05-16
-37.50,27.50,--,2007-05-16
-37.50,28.50,--,2007-05-16
-37.50,29.50,--,2007-05-16
-37.50,30.50,--,2007-05-16
-37.50,31.50,--,2007-05-16
-37.50,32.50,--,2007-05-16
-37.50,33.50,--,2007-05-16
-37.50,34.50,--,2007-05-16
-37.50,35.50,--,2007-05-16
-37.50,36.50,--,2007-05-16
-37.50,37.50,--,2007-05-16
-36.50,17.50,-0.03310,2007-05-16
-36.50,18.50,-0.03390,2007-05-16
-36.50,19.50,-0.03343,2007-05-16
-36.50,20.50,-0.03231,2007-05-16
-36.50,21.50,-0.03117,2007-05-16
-36.50,22.50,-0.03048,2007-05-16
-36.50,23.50,-0.03053,2007-05-16
-36.50,24.50,--,2007-05-16
-36.50,25.50,--,2007-05-16
-36.50,26.50,--,2007-05-16
-36.50,27.50,--,2007-05-16
-36.50,28.50,--,2007-05-16
-36.50,29.50,--,2007-05-16
-36.50,30.50,--,2007-05-16
-36.50,31.50,--,2007-05-16
-36.50,32.50,--,2007-05-16
-36.50,33.50,--,2007-05-16
-36.50,34.50,--,2007-05-16
-36.50,35.50,--,2007-05-16
-36.50,36.50,--,2007-05-16
-36.50,37.50,--,2007-05-16
-35.50,17.50,-0.02632,2007-05-16
-35.50,18.50,-0.02628,2007-05-16
-35.50,19.50,-0.02478,2007-05-16
-35.50,20.50,-0.02257,2007-05-16
-35.50,21.50,-0.02043,2007-05-16
-35.50,22.50,-0.01902,2007-05-16
-35.50,23.50,-0.01877,2007-05-16
-35.50,24.50,-0.01981,2007-05-16
-35.50,25.50,-0.02202,2007-05-16
-35.50,26.50,-0.02506,2007-05-16
-35.50,27.50,-0.02848,2007-05-16
-35.50,28.50,-0.03174,2007-05-16
-35.50,29.50,--,2007-05-16
-35.50,30.50,--,2007-05-16
-35.50,31.50,--,2007-05-16
-35.50,32.50,--,2007-05-16
-35.50,33.50,--,2007-05-16
-35.50,34.50,--,2007-05-16
-35.50,35.50,--,2007-05-16
-35.50,36.50,--,2007-05-16
-35.50,37.50,--,2007-05-16
-34.50,17.50,-0.01893,2007-05-16
-34.50,18.50,-0.01840,2007-05-16
-34.50,19.50,-0.01648,2007-05-16
-34.50,20.50,-0.01382,2007-05-16
-34.50,21.50,-0.01121,2007-05-16
-34.50,22.50,-0.00936,2007-05-16
-34.50,23.50,-0.00877,2007-05-16
-34.50,24.50,-0.00971,2007-05-16
-34.50,25.50,-0.01216,2007-05-16
-34.50,26.50,-0.01588,2007-05-16
-34.50,27.50,-0.02038,2007-05-16
-34.50,28.50,-0.02508,2007-05-16
-34.50,29.50,-0.02930,2007-05-16
-34.50,30.50,--,2007-05-16
-34.50,31.50,--,2007-05-16
-34.50,32.50,--,2007-05-16
-34.50,33.50,--,2007-05-16
-34.50,34.50,--,2007-05-16
-34.50,35.50,--,2007-05-16
-34.50,36.50,--,2007-05-16
-34.50,37.50,--,2007-05-16
-33.50,17.50,-0.01246,2007-05-16
-33.50,18.50,-0.01211,2007-05-16
-33.50,19.50,-0.01054,2007-05-16
-33.50,20.50,-0.00819,2007-05-16
-33.50,21.50,-0.00566,2007-05-16
-33.50,22.50,-0.00360,2007-05-16
-33.50,23.50,-0.00254,2007-05-16
-33.50,24.50,-0.00290,2007-05-16
-33.50,25.50,-0.00486,2007-05-16
-33.50,26.50,-0.00839,2007-05-16
-33.50,27.50,-0.01317,2007-05-16
-33.50,28.50,-0.01865,2007-05-16
-33.50,29.50,-0.02414,2007-05-16
-33.50,30.50,-0.02886,2007-05-16
-33.50,31.50,-0.03215,2007-05-16
-33.50,32.50,--,2007-05-16
-33.50,33.50,--,2007-05-16
-33.50,34.50,--,2007-05-16
-33.50,35.50,--,2007-05-16
-33.50,36.50,--,2007-05-16
-33.50,37.50,--,2007-05-16
-32.50,17.50,-0.00754,2007-05-16
-32.50,18.50,-0.00807,2007-05-16
-32.50,19.50,-0.00759,2007-05-16
-32.50,20.50,-0.00623,2007-05-16
-32.50,21.50,-0.00433,2007-05-16
-32.50,22.50,-0.00235,2007-05-16
-32.50,23.50,-0.00084,2007-05-16
-32.50,24.50,-0.00035,2007-05-16
-32.50,25.50,-0.00130,2007-05-16
-32.50,26.50,-0.00392,2007-05-16
-32.50,27.50,-0.00817,2007-05-16
-32.50,28.50,-0.01366,2007-05-16
-32.50,29.50,-0.01973,2007-05-16
-32.50,30.50,-0.02553,2007-05-16
-32.50,31.50,-0.03020,2007-05-16
-32.50,32.50,--,2007-05-16
-32.50,33.50,--,2007-05-16
-32.50,34.50,--,2007-05-16
-32.50,35.50,--,2007-05-16
-32.50,36.50,--,2007-05-16
-32.50,37.50,--,2007-05-16
-31.50,17.50,-0.00391,2007-05-16
-31.50,18.50,-0.00578,2007-05-16
-31.50,19.50,-0.00685,2007-05-16
-31.50,20.50,-0.00695,2007-05-16
-31.50,21.50,-0.00613,2007-05-16
-31.50,22.50,-0.00469,2007-05-16
-31.50,23.50,-0.00312,2007-05-16
-31.50,24.50,-0.00204,2007-05-16
-31.50,25.50,-0.00204,2007-05-16
-31.50,26.50,-0.00360,2007-05-16
-31.50,27.50,-0.00690,2007-05-16
-31.50,28.50,-0.01176,2007-05-16
-31.50,29.50,-0.01765,2007-05-16
-31.50,30.50,-0.02372,2007-05-16
-31.50,31.50,-0.02903,2007-05-16
-31.50,32.50,-0.03276,2007-05-16
-31.50,33.50,--,2007-05-16
-31.50,34.50,--,2007-05-16
-31.50,35.50,--,2007-05-16
-31.50,36.50,--,2007-05-16
-31.50,37.50,--,2007-05-16
-30.50,17.50,-0.00098,2007-05-16
-30.50,18.50,-0.00418,2007-05-16
-30.50,19.50,-0.00683,2007-05-16
-30.50,20.50,-0.00854,2007-05-16
-30.50,21.50,-0.00916,2007-05-16
-30.50,22.50,-0.00884,2007-05-16
-30.50,23.50,-0.00794,2007-05-16
-30.50,24.50,-0.00706,2007-05-16
-30.50,25.50,-0.00681,2007-05-16
-30.50,26.50,-0.00775,2007-05-16
-30.50,27.50,-0.01018,2007-05-16
-30.50,28.50,-0.01410,2007-05-16
-30.50,29.50,-0.01910,2007-05-16
-30.50,30.50,-0.02450,2007-05-16
-30.50,31.50,-0.02943,2007-05-16
-30.50,32.50,-0.03308,2007-05-16
-30.50,33.50,-0.03482,2007-05-16
-30.50,34.50,--,2007-05-16
-30.50,35.50,--,2007-05-16
-30.50,36.50,--,2007-05-16
-30.50,37.50,--,2007-05-16
-29.50,17.50,0.00160,2007-05-16
-29.50,18.50,-0.00249,2007-05-16
-29.50,19.50,-0.00638,2007-05-16
-29.50,20.50,-0.00959,2007-05-16
-29.50,21.50,-0.01184,2007-05-16
-29.50,22.50,-0.01314,2007-05-16
-29.50,23.50,-0.01372,2007-05-16
-29.50,24.50,-0.01399,2007-05-16
-29.50,25.50,-0.01442,2007-05-16
-29.50,26.50,-0.01546,2007-05-16
-29.50,27.50,-0.01738,2007-05-16
-29.50,28.50,-0.02023,2007-05-16
-29.50,29.50,-0.02381,2007-05-16
-29.50,30.50,-0.02767,2007-05-16
-29.50,31.50,-0.03121,2007-05-16
-29.50,32.50,-0.03380,2007-05-16
-29.50,33.50,-0.03491,2007-05-16
-29.50,34.50,-0.03427,2007-05-16
-29.50,35.50,--,2007-05-16
-29.50,36.50,--,2007-05-16
-29.50,37.50,--,2007-05-16
-28.50,17.50,0.00366,2007-05-16
-28.50,18.50,-0.00077,2007-05-16
-28.50,19.50,-0.00545,2007-05-16
-28.50,20.50,-0.00988,2007-05-16
-28.50,21.50,-0.01374,2007-05-16
-28.50,22.50,-0.01689,2007-05-16
-28.50,23.50,-0.01936,2007-05-16
-28.50,24.50,-0.02135,2007-05-16
-28.50,25.50,-0.02304,2007-05-16
-28.50,26.50,-0.02464,2007-05-16
-28.50,27.50,-0.02627,2007-05-16
-28.50,28.50,-0.02799,2007-05-16
-28.50,29.50,-0.02979,2007-05-16
-28.50,30.50,-0.03152,2007-05-16
-28.50,31.50,-0.03299,2007-05-16
-28.50,32.50,-0.03387,2007-05-16
-28.50,33.50,-0.03384,2007-05-16
-28.50,34.50,-0.03266,2007-05-16
-28.50,35.50,--,2007-05-16
-28.50,36.50,--,2007-05-16
-28.50,37.50,--,2007-05-16
-27.50,17.50,0.00459,2007-05-16
-27.50,18.50,0.00018,2007-05-16
-27.50,19.50,-0.00498,2007-05-16
-27.50,20.50,-0.01038,2007-05-16
-27.50,21.50,-0.01559,2007-05-16
-27.50,22.50,-0.02034,2007-05-16
-27.50,23.50,-0.02449,2007-05-16
-27.50,24.50,-0.02796,2007-05-16
-27.50,25.50,-0.03072,2007-05-16
-27.50,26.50,-0.03270,2007-05-16
-27.50,27.50,-0.03388,2007-05-16
-27.50,28.50,-0.03433,2007-05-16
-27.50,29.50,-0.03420,2007-05-16
-27.50,30.50,-0.03369,2007-05-16
-27.50,31.50,-0.03297,2007-05-16
-27.50,32.50,-0.03208,2007-05-16
-27.50,33.50,-0.03090,2007-05-16
-27.50,34.50,-0.02921,2007-05-16
-27.50,35.50,-0.02688,2007-05-16
-27.50,36.50,--,2007-05-16
-27.50,37.50,--,2007-05-16
-26.50,17.50,0.00384,2007-05-16
-26.50,18.50,-0.00060,2007-05-16
-26.50,19.50,-0.00619,2007-05-16
-26.50,20.50,-0.01233,2007-05-16
-26.50,21.50,-0.01845,2007-05-16
-26.50,22.50,-0.02413,2007-05-16
-26.50,23.50,-0.02908,2007-05-16
-26.50,24.50,-0.03309,2007-05-16
-26.50,25.50,-0.03598,2007-05-16
-26.50,26.50,-0.03758,2007-05-16
-26.50,27.50,-0.03782,2007-05-16
-26.50,28.50,-0.03681,2007-05-16
-26.50,29.50,-0.03488,2007-05-16
-26.50,30.50,-0.03249,2007-05-16
-26.50,31.50,-0.03012,2007-05-16
-26.50,32.50,-0.02802,2007-05-16
-26.50,33.50,-0.02619,2007-05-16
-26.50,34.50,-0.02439,2007-05-16
-26.50,35.50,-0.02231,2007-05-16
-26.50,36.50,-0.01975,2007-05-16
-26.50,37.50,--,2007-05-16
-25.50,17.50,0.00118,2007-05-16
-25.50,18.50,-0.00357,2007-05-16
-25.50,19.50,-0.00963,2007-05-16
-25.50,20.50,-0.01626,2007-05-16
-25.50,21.50,-0.02270,2007-05-16
-25.50,22.50,-0.02839,2007-05-16
-25.50,23.50,-0.03299,2007-05-16
-25.50,24.50,-0.03629,2007-05-16
-25.50,25.50,-0.03815,2007-05-16
-25.50,26.50,-0.03848,2007-05-16
-25.50,27.50,-0.03729,2007-05-16
-25.50,28.50,-0.03481,2007-05-16
-25.50,29.50,-0.03149,2007-05-16
-25.50,30.50,-0.02797,2007-05-16
-25.50,31.50,-0.02484,2007-05-16
-25.50,32.50,-0.02244,2007-05-16
-25.50,33.50,-0.02074,2007-05-16
-25.50,34.50,-0.01938,2007-05-16
-25.50,35.50,-0.01786,2007-05-16
-25.50,36.50,-0.01575,2007-05-16
-25.50,37.50,--,2007-05-16
-24.50,17.50,-0.00323,2007-05-16
-24.50,18.50,-0.00847,2007-05-16
-24.50,19.50,-0.01489,2007-05-16
-24.50,20.50,-0.02157,2007-05-16
-24.50,21.50,-0.02765,2007-05-16
-24.50,22.50,-0.03248,2007-05-16
-24.50,23.50,-0.03575,2007-05-16
-24.50,24.50,-0.03740,2007-05-16
-24.50,25.50,-0.03746,2007-05-16
-24.50,26.50,-0.03604,2007-05-16
-24.50,27.50,-0.03333,2007-05-16
-24.50,28.50,-0.02967,2007-05-16
-24.50,29.50,-0.02562,2007-05-16
-24.50,30.50,-0.02181,2007-05-16
-24.50,31.50,-0.01880,2007-05-16
-24.50,32.50,-0.01688,2007-05-16
-24.50,33.50,-0.01591,2007-05-16
-24.50,34.50,-0.01539,2007-05-16
-24.50,35.50,-0.01466,2007-05-16
-24.50,36.50,-0.01310,2007-05-16
-24.50,37.50,--,2007-05-16
-23.50,17.50,-0.00908,2007-05-16
-23.50,18.50,-0.01462,2007-05-16
-23.50,19.50,-0.02093,2007-05-16
-23.50,20.50,-0.02702,2007-05-16
-23.50,21.50,-0.03203,2007-05-16
-23.50,22.50,-0.03537,2007-05-16
-23.50,23.50,-0.03687,2007-05-16
-23.50,24.50,-0.03663,2007-05-16
-23.50,25.50,-0.03490,2007-05-16
-23.50,26.50,-0.03199,2007-05-16
-23.50,27.50,-0.02822,2007-05-16
-23.50,28.50,-0.02401,2007-05-16
-23.50,29.50,-0.01988,2007-05-16
-23.50,30.50,-0.01639,2007-05-16
-23.50,31.50,-0.01398,2007-05-16
-23.50,32.50,-0.01278,2007-05-16
-23.50,33.50,-0.01259,2007-05-16
-23.50,34.50,-0.01285,2007-05-16
-23.50,35.50,-0.01284,2007-05-16
