Latitude,Longitude,LWE
-46.50,17.50,--,2013-07-16
-46.50,18.50,--,2013-07-16
-46.50,19.50,--,2013-07-16
-46.50,20.50,--,2013-07-16
-46.50,21.50,--,2013-07-16
-46.50,22.50,--,2013-07-16
-46.50,23.50,--,2013-07-16
-46.50,24.50,--,2013-07-16
-46.50,25.50,--,2013-07-16
-46.50,26.50,--,2013-07-16
-46.50,27.50,--,2013-07-16
-46.50,28.50,--,2013-07-16
-46.50,29.50,--,2013-07-16
-46.50,30.50,--,2013-07-16
-46.50,31.50,--,2013-07-16
-46.50,32.50,--,2013-07-16
-46.50,33.50,--,2013-07-16
-46.50,34.50,--,2013-07-16
-46.50,35.50,--,2013-07-16
-46.50,36.50,--,2013-07-16
-46.50,37.50,--,2013-07-16
-45.50,17.50,--,2013-07-16
-45.50,18.50,--,2013-07-16
-45.50,19.50,--,2013-07-16
-45.50,20.50,--,2013-07-16
-45.50,21.50,--,2013-07-16
-45.50,22.50,--,2013-07-16
-45.50,23.50,--,2013-07-16
-45.50,24.50,--,2013-07-16
-45.50,25.50,--,2013-07-16
-45.50,26.50,--,2013-07-16
-45.50,27.50,--,2013-07-16
-45.50,28.50,--,2013-07-16
-45.50,29.50,--,2013-07-16
-45.50,30.50,--,2013-07-16
-45.50,31.50,--,2013-07-16
-45.50,32.50,--,2013-07-16
-45.50,33.50,--,2013-07-16
-45.50,34.50,--,2013-07-16
-45.50,35.50,--,2013-07-16
-45.50,36.50,--,2013-07-16
-45.50,37.50,--,2013-07-16
-44.50,17.50,--,2013-07-16
-44.50,18.50,--,2013-07-16
-44.50,19.50,--,2013-07-16
-44.50,20.50,--,2013-07-16
-44.50,21.50,--,2013-07-16
-44.50,22.50,--,2013-07-16
-44.50,23.50,--,2013-07-16
-44.50,24.50,--,2013-07-16
-44.50,25.50,--,2013-07-16
-44.50,26.50,--,2013-07-16
-44.50,27.50,--,2013-07-16
-44.50,28.50,--,2013-07-16
-44.50,29.50,--,2013-07-16
-44.50,30.50,--,2013-07-16
-44.50,31.50,--,2013-07-16
-44.50,32.50,--,2013-07-16
-44.50,33.50,--,2013-07-16
-44.50,34.50,--,2013-07-16
-44.50,35.50,--,2013-07-16
-44.50,36.50,--,2013-07-16
-44.50,37.50,--,2013-07-16
-43.50,17.50,--,2013-07-16
-43.50,18.50,--,2013-07-16
-43.50,19.50,--,2013-07-16
-43.50,20.50,--,2013-07-16
-43.50,21.50,--,2013-07-16
-43.50,22.50,--,2013-07-16
-43.50,23.50,--,2013-07-16
-43.50,24.50,--,2013-07-16
-43.50,25.50,--,2013-07-16
-43.50,26.50,--,2013-07-16
-43.50,27.50,--,2013-07-16
-43.50,28.50,--,2013-07-16
-43.50,29.50,--,2013-07-16
-43.50,30.50,--,2013-07-16
-43.50,31.50,--,2013-07-16
-43.50,32.50,--,2013-07-16
-43.50,33.50,--,2013-07-16
-43.50,34.50,--,2013-07-16
-43.50,35.50,--,2013-07-16
-43.50,36.50,--,2013-07-16
-43.50,37.50,--,2013-07-16
-42.50,17.50,--,2013-07-16
-42.50,18.50,--,2013-07-16
-42.50,19.50,--,2013-07-16
-42.50,20.50,--,2013-07-16
-42.50,21.50,--,2013-07-16
-42.50,22.50,--,2013-07-16
-42.50,23.50,--,2013-07-16
-42.50,24.50,--,2013-07-16
-42.50,25.50,--,2013-07-16
-42.50,26.50,--,2013-07-16
-42.50,27.50,--,2013-07-16
-42.50,28.50,--,2013-07-16
-42.50,29.50,--,2013-07-16
-42.50,30.50,--,2013-07-16
-42.50,31.50,--,2013-07-16
-42.50,32.50,--,2013-07-16
-42.50,33.50,--,2013-07-16
-42.50,34.50,--,2013-07-16
-42.50,35.50,--,2013-07-16
-42.50,36.50,--,2013-07-16
-42.50,37.50,--,2013-07-16
-41.50,17.50,--,2013-07-16
-41.50,18.50,--,2013-07-16
-41.50,19.50,--,2013-07-16
-41.50,20.50,--,2013-07-16
-41.50,21.50,--,2013-07-16
-41.50,22.50,--,2013-07-16
-41.50,23.50,--,2013-07-16
-41.50,24.50,--,2013-07-16
-41.50,25.50,--,2013-07-16
-41.50,26.50,--,2013-07-16
-41.50,27.50,--,2013-07-16
-41.50,28.50,--,2013-07-16
-41.50,29.50,--,2013-07-16
-41.50,30.50,--,2013-07-16
-41.50,31.50,--,2013-07-16
-41.50,32.50,--,2013-07-16
-41.50,33.50,--,2013-07-16
-41.50,34.50,--,2013-07-16
-41.50,35.50,--,2013-07-16
-41.50,36.50,--,2013-07-16
-41.50,37.50,--,2013-07-16
-40.50,17.50,--,2013-07-16
-40.50,18.50,--,2013-07-16
-40.50,19.50,--,2013-07-16
-40.50,20.50,--,2013-07-16
-40.50,21.50,--,2013-07-16
-40.50,22.50,--,2013-07-16
-40.50,23.50,--,2013-07-16
-40.50,24.50,--,2013-07-16
-40.50,25.50,--,2013-07-16
-40.50,26.50,--,2013-07-16
-40.50,27.50,--,2013-07-16
-40.50,28.50,--,2013-07-16
-40.50,29.50,--,2013-07-16
-40.50,30.50,--,2013-07-16
-40.50,31.50,--,2013-07-16
-40.50,32.50,--,2013-07-16
-40.50,33.50,--,2013-07-16
-40.50,34.50,--,2013-07-16
-40.50,35.50,--,2013-07-16
-40.50,36.50,--,2013-07-16
-40.50,37.50,--,2013-07-16
-39.50,17.50,--,2013-07-16
-39.50,18.50,--,2013-07-16
-39.50,19.50,--,2013-07-16
-39.50,20.50,--,2013-07-16
-39.50,21.50,--,2013-07-16
-39.50,22.50,--,2013-07-16
-39.50,23.50,--,2013-07-16
-39.50,24.50,--,2013-07-16
-39.50,25.50,--,2013-07-16
-39.50,26.50,--,2013-07-16
-39.50,27.50,--,2013-07-16
-39.50,28.50,--,2013-07-16
-39.50,29.50,--,2013-07-16
-39.50,30.50,--,2013-07-16
-39.50,31.50,--,2013-07-16
-39.50,32.50,--,2013-07-16
-39.50,33.50,--,2013-07-16
-39.50,34.50,--,2013-07-16
-39.50,35.50,--,2013-07-16
-39.50,36.50,--,2013-07-16
-39.50,37.50,--,2013-07-16
-38.50,17.50,--,2013-07-16
-38.50,18.50,--,2013-07-16
-38.50,19.50,--,2013-07-16
-38.50,20.50,--,2013-07-16
-38.50,21.50,--,2013-07-16
-38.50,22.50,--,2013-07-16
-38.50,23.50,--,2013-07-16
-38.50,24.50,--,2013-07-16
-38.50,25.50,--,2013-07-16
-38.50,26.50,--,2013-07-16
-38.50,27.50,--,2013-07-16
-38.50,28.50,--,2013-07-16
-38.50,29.50,--,2013-07-16
-38.50,30.50,--,2013-07-16
-38.50,31.50,--,2013-07-16
-38.50,32.50,--,2013-07-16
-38.50,33.50,--,2013-07-16
-38.50,34.50,--,2013-07-16
-38.50,35.50,--,2013-07-16
-38.50,36.50,--,2013-07-16
-38.50,37.50,--,2013-07-16
-37.50,17.50,--,2013-07-16
-37.50,18.50,--,2013-07-16
-37.50,19.50,--,2013-07-16
-37.50,20.50,--,2013-07-16
-37.50,21.50,--,2013-07-16
-37.50,22.50,--,2013-07-16
-37.50,23.50,--,2013-07-16
-37.50,24.50,--,2013-07-16
-37.50,25.50,--,2013-07-16
-37.50,26.50,--,2013-07-16
-37.50,27.50,--,2013-07-16
-37.50,28.50,--,2013-07-16
-37.50,29.50,--,2013-07-16
-37.50,30.50,--,2013-07-16
-37.50,31.50,--,2013-07-16
-37.50,32.50,--,2013-07-16
-37.50,33.50,--,2013-07-16
-37.50,34.50,--,2013-07-16
-37.50,35.50,--,2013-07-16
-37.50,36.50,--,2013-07-16
-37.50,37.50,--,2013-07-16
-36.50,17.50,0.05118,2013-07-16
-36.50,18.50,0.04983,2013-07-16
-36.50,19.50,0.04744,2013-07-16
-36.50,20.50,0.04434,2013-07-16
-36.50,21.50,0.04098,2013-07-16
-36.50,22.50,0.03789,2013-07-16
-36.50,23.50,0.03550,2013-07-16
-36.50,24.50,--,2013-07-16
-36.50,25.50,--,2013-07-16
-36.50,26.50,--,2013-07-16
-36.50,27.50,--,2013-07-16
-36.50,28.50,--,2013-07-16
-36.50,29.50,--,2013-07-16
-36.50,30.50,--,2013-07-16
-36.50,31.50,--,2013-07-16
-36.50,32.50,--,2013-07-16
-36.50,33.50,--,2013-07-16
-36.50,34.50,--,2013-07-16
-36.50,35.50,--,2013-07-16
-36.50,36.50,--,2013-07-16
-36.50,37.50,--,2013-07-16
-35.50,17.50,0.04738,2013-07-16
-35.50,18.50,0.04777,2013-07-16
-35.50,19.50,0.04705,2013-07-16
-35.50,20.50,0.04520,2013-07-16
-35.50,21.50,0.04256,2013-07-16
-35.50,22.50,0.03968,2013-07-16
-35.50,23.50,0.03718,2013-07-16
-35.50,24.50,0.03556,2013-07-16
-35.50,25.50,0.03506,2013-07-16
-35.50,26.50,0.03557,2013-07-16
-35.50,27.50,0.03670,2013-07-16
-35.50,28.50,0.03794,2013-07-16
-35.50,29.50,--,2013-07-16
-35.50,30.50,--,2013-07-16
-35.50,31.50,--,2013-07-16
-35.50,32.50,--,2013-07-16
-35.50,33.50,--,2013-07-16
-35.50,34.50,--,2013-07-16
-35.50,35.50,--,2013-07-16
-35.50,36.50,--,2013-07-16
-35.50,37.50,--,2013-07-16
-34.50,17.50,0.04245,2013-07-16
-34.50,18.50,0.04439,2013-07-16
-34.50,19.50,0.04520,2013-07-16
-34.50,20.50,0.04458,2013-07-16
-34.50,21.50,0.04269,2013-07-16
-34.50,22.50,0.04004,2013-07-16
-34.50,23.50,0.03741,2013-07-16
-34.50,24.50,0.03552,2013-07-16
-34.50,25.50,0.03486,2013-07-16
-34.50,26.50,0.03551,2013-07-16
-34.50,27.50,0.03715,2013-07-16
-34.50,28.50,0.03920,2013-07-16
-34.50,29.50,0.04100,2013-07-16
-34.50,30.50,--,2013-07-16
-34.50,31.50,--,2013-07-16
-34.50,32.50,--,2013-07-16
-34.50,33.50,--,2013-07-16
-34.50,34.50,--,2013-07-16
-34.50,35.50,--,2013-07-16
-34.50,36.50,--,2013-07-16
-34.50,37.50,--,2013-07-16
-33.50,17.50,0.03653,2013-07-16
-33.50,18.50,0.03955,2013-07-16
-33.50,19.50,0.04155,2013-07-16
-33.50,20.50,0.04200,2013-07-16
-33.50,21.50,0.04085,2013-07-16
-33.50,22.50,0.03852,2013-07-16
-33.50,23.50,0.03577,2013-07-16
-33.50,24.50,0.03347,2013-07-16
-33.50,25.50,0.03233,2013-07-16
-33.50,26.50,0.03265,2013-07-16
-33.50,27.50,0.03429,2013-07-16
-33.50,28.50,0.03670,2013-07-16
-33.50,29.50,0.03916,2013-07-16
-33.50,30.50,0.04099,2013-07-16
-33.50,31.50,0.04176,2013-07-16
-33.50,32.50,--,2013-07-16
-33.50,33.50,--,2013-07-16
-33.50,34.50,--,2013-07-16
-33.50,35.50,--,2013-07-16
-33.50,36.50,--,2013-07-16
-33.50,37.50,--,2013-07-16
-32.50,17.50,0.02976,2013-07-16
-32.50,18.50,0.03337,2013-07-16
-32.50,19.50,0.03622,2013-07-16
-32.50,20.50,0.03761,2013-07-16
-32.50,21.50,0.03727,2013-07-16
-32.50,22.50,0.03542,2013-07-16
-32.50,23.50,0.03269,2013-07-16
-32.50,24.50,0.02995,2013-07-16
-32.50,25.50,0.02806,2013-07-16
-32.50,26.50,0.02759,2013-07-16
-32.50,27.50,0.02865,2013-07-16
-32.50,28.50,0.03089,2013-07-16
-32.50,29.50,0.03365,2013-07-16
-32.50,30.50,0.03617,2013-07-16
-32.50,31.50,0.03783,2013-07-16
-32.50,32.50,--,2013-07-16
-32.50,33.50,--,2013-07-16
-32.50,34.50,--,2013-07-16
-32.50,35.50,--,2013-07-16
-32.50,36.50,--,2013-07-16
-32.50,37.50,--,2013-07-16
-31.50,17.50,0.02252,2013-07-16
-31.50,18.50,0.02632,2013-07-16
-31.50,19.50,0.02971,2013-07-16
-31.50,20.50,0.03189,2013-07-16
-31.50,21.50,0.03239,2013-07-16
-31.50,22.50,0.03116,2013-07-16
-31.50,23.50,0.02863,2013-07-16
-31.50,24.50,0.02556,2013-07-16
-31.50,25.50,0.02288,2013-07-16
-31.50,26.50,0.02138,2013-07-16
-31.50,27.50,0.02150,2013-07-16
-31.50,28.50,0.02319,2013-07-16
-31.50,29.50,0.02595,2013-07-16
-31.50,30.50,0.02901,2013-07-16
-31.50,31.50,0.03155,2013-07-16
-31.50,32.50,0.03295,2013-07-16
-31.50,33.50,--,2013-07-16
-31.50,34.50,--,2013-07-16
-31.50,35.50,--,2013-07-16
-31.50,36.50,--,2013-07-16
-31.50,37.50,--,2013-07-16
-30.50,17.50,0.01542,2013-07-16
