Latitude,Longitude,LWE_Data,Date
-26.50,36.50,-0.03736,20020417
-25.50,17.50,-0.00460,20020417
-25.50,18.50,-0.00373,20020417
-25.50,19.50,-0.00333,20020417
-25.50,20.50,-0.00273,20020417
-25.50,21.50,-0.00117,20020417
-25.50,22.50,0.00199,20020417
-25.50,23.50,0.00704,20020417
-25.50,24.50,0.01376,20020417
-25.50,25.50,0.02130,20020417
-25.50,26.50,0.02830,20020417
-25.50,27.50,0.03312,20020417
-25.50,28.50,0.03426,20020417
-25.50,29.50,0.03086,20020417
-25.50,30.50,0.02310,20020417
-25.50,31.50,0.01231,20020417
-25.50,32.50,0.00064,20020417
-25.50,33.50,-0.00959,20020417
-25.50,34.50,-0.01658,20020417
-25.50,35.50,-0.01956,20020417
-25.50,36.50,-0.01888,20020417
-24.50,17.50,-0.00348,20020417
-24.50,18.50,-0.00277,20020417
-24.50,19.50,-0.00215,20020417
-24.50,20.50,-0.00144,20020417
-24.50,21.50,-0.00031,20020417
-24.50,22.50,0.00181,20020417
-24.50,23.50,0.00559,20020417
-24.50,24.50,0.01142,20020417
-24.50,25.50,0.01907,20020417
-24.50,26.50,0.02752,20020417
-24.50,27.50,0.03509,20020417
-24.50,28.50,0.03999,20020417
-24.50,29.50,0.04095,20020417
-24.50,30.50,0.03779,20020417
-24.50,31.50,0.03145,20020417
-24.50,32.50,0.02372,20020417
-24.50,33.50,0.01644,20020417
-24.50,34.50,0.01090,20020417
-24.50,35.50,0.00750,20020417
-24.50,36.50,0.00582,20020417
-23.50,17.50,-0.00760,20020417
-23.50,18.50,-0.00736,20020417
-23.50,19.50,-0.00680,20020417
-23.50,20.50,-0.00597,20020417
-23.50,21.50,-0.00484,20020417
-23.50,22.50,-0.00301,20020417
-23.50,23.50,0.00026,20020417
-23.50,24.50,0.00571,20020417
-23.50,25.50,0.01359,20020417
-23.50,26.50,0.02325,20020417
-23.50,27.50,0.03327,20020417
-23.50,28.50,0.04184,20020417
-23.50,29.50,0.04754,20020417
-23.50,30.50,0.04978,20020417
-23.50,31.50,0.04895,20020417
-23.50,32.50,0.04607,20020417
-23.50,33.50,0.04219,20020417
-23.50,34.50,0.03792,20020417
-23.50,35.50,0.03332,20020417
-23.50,36.50,0.02816,20020417
-22.50,17.50,-0.01708,20020417
-22.50,18.50,-0.01746,20020417
-22.50,19.50,-0.01695,20020417
-22.50,20.50,-0.01554,20020417
-22.50,21.50,-0.01339,20020417
-22.50,22.50,-0.01041,20020417
-22.50,23.50,-0.00616,20020417
-22.50,24.50,0.00002,20020417
-22.50,25.50,0.00848,20020417
-22.50,26.50,0.01893,20020417
-22.50,27.50,0.03034,20020417
-22.50,28.50,0.04125,20020417
-22.50,29.50,0.05033,20020417
-22.50,30.50,0.05674,20020417
-22.50,31.50,0.06028,20020417
-22.50,32.50,0.06112,20020417
-22.50,33.50,0.05947,20020417
-22.50,34.50,0.05539,20020417
-22.50,35.50,0.04893,20020417
-22.50,36.50,0.04039,20020417
-36.50,17.50,-0.01392,20020510
-36.50,18.50,-0.00939,20020510
-36.50,19.50,-0.00683,20020510
-36.50,20.50,-0.00700,20020510
-36.50,21.50,-0.00983,20020510
-36.50,22.50,-0.01428,20020510
-36.50,23.50,-0.01863,20020510
-35.50,17.50,-0.00378,20020510
-35.50,18.50,0.00031,20020510
-35.50,19.50,0.00126,20020510
-35.50,20.50,-0.00162,20020510
-35.50,21.50,-0.00783,20020510
-35.50,22.50,-0.01571,20020510
-35.50,23.50,-0.02278,20020510
-35.50,24.50,-0.02654,20020510
-35.50,25.50,-0.02535,20020510
-35.50,26.50,-0.01909,20020510
-35.50,27.50,-0.00930,20020510
-35.50,28.50,0.00125,20020510
-34.50,17.50,-0.00011,20020510
-34.50,18.50,0.00299,20020510
-34.50,19.50,0.00300,20020510
-34.50,20.50,-0.00059,20020510
-34.50,21.50,-0.00725,20020510
-34.50,22.50,-0.01535,20020510
-34.50,23.50,-0.02254,20020510
-34.50,24.50,-0.02643,20020510
-34.50,25.50,-0.02541,20020510
-34.50,26.50,-0.01932,20020510
-34.50,27.50,-0.00970,20020510
-34.50,28.50,0.00062,20020510
-34.50,29.50,0.00834,20020510
-33.50,17.50,-0.00209,20020510
-33.50,18.50,-0.00045,20020510
-33.50,19.50,-0.00083,20020510
-33.50,20.50,-0.00345,20020510
-33.50,21.50,-0.00797,20020510
-33.50,22.50,-0.01338,20020510
-33.50,23.50,-0.01823,20020510
-33.50,24.50,-0.02095,20020510
-33.50,25.50,-0.02042,20020510
-33.50,26.50,-0.01649,20020510
-33.50,27.50,-0.01020,20020510
-33.50,28.50,-0.00370,20020510
-33.50,29.50,0.00043,20020510
-33.50,30.50,0.00004,20020510
-33.50,31.50,-0.00583,20020510
-32.50,17.50,-0.00607,20020510
-32.50,18.50,-0.00623,20020510
-32.50,19.50,-0.00693,20020510
-32.50,20.50,-0.00799,20020510
-32.50,21.50,-0.00927,20020510
-32.50,22.50,-0.01063,20020510
-32.50,23.50,-0.01184,20020510
-32.50,24.50,-0.01253,20020510
-32.50,25.50,-0.01232,20020510
-32.50,26.50,-0.01111,20020510
-32.50,27.50,-0.00930,20020510
-32.50,28.50,-0.00795,20020510
-32.50,29.50,-0.00844,20020510
-32.50,30.50,-0.01204,20020510
-32.50,31.50,-0.01920,20020510
-31.50,17.50,-0.00796,20020510
-31.50,18.50,-0.00993,20020510
-31.50,19.50,-0.01129,20020510
-31.50,20.50,-0.01140,20020510
-31.50,21.50,-0.01016,20020510
-31.50,22.50,-0.00807,20020510
-31.50,23.50,-0.00593,20020510
-31.50,24.50,-0.00446,20020510
-31.50,25.50,-0.00402,20020510
-31.50,26.50,-0.00466,20020510
-31.50,27.50,-0.00629,20020510
-31.50,28.50,-0.00899,20020510
-31.50,29.50,-0.01308,20020510
-31.50,30.50,-0.01899,20020510
-31.50,31.50,-0.02681,20020510
-31.50,32.50,-0.03597,20020510
-30.50,17.50,-0.00568,20020510
-30.50,18.50,-0.00894,20020510
-30.50,19.50,-0.01129,20020510
-30.50,20.50,-0.01164,20020510
-30.50,21.50,-0.00969,20020510
-30.50,22.50,-0.00608,20020510
-30.50,23.50,-0.00204,20020510
-30.50,24.50,0.00112,20020510
-30.50,25.50,0.00247,20020510
-30.50,26.50,0.00172,20020510
-30.50,27.50,-0.00096,20020510
-30.50,28.50,-0.00521,20020510
-30.50,29.50,-0.01080,20020510
-30.50,30.50,-0.01766,20020510
-30.50,31.50,-0.02566,20020510
-30.50,32.50,-0.03434,20020510
-30.50,33.50,-0.04277,20020510
-29.50,17.50,-0.00014,20020510
-29.50,18.50,-0.00371,20020510
-29.50,19.50,-0.00690,20020510
-29.50,20.50,-0.00834,20020510
-29.50,21.50,-0.00735,20020510
-29.50,22.50,-0.00418,20020510
-29.50,23.50,0.00017,20020510
-29.50,24.50,0.00436,20020510
-29.50,25.50,0.00723,20020510
-29.50,26.50,0.00809,20020510
-29.50,27.50,0.00675,20020510
-29.50,28.50,0.00334,20020510
-29.50,29.50,-0.00192,20020510
-29.50,30.50,-0.00882,20020510
-29.50,31.50,-0.01706,20020510
-29.50,32.50,-0.02610,20020510
-29.50,33.50,-0.03502,20020510
-29.50,34.50,-0.04263,20020510
-28.50,17.50,0.00571,20020510
-28.50,18.50,0.00295,20020510
-28.50,19.50,-0.00038,20020510
-28.50,20.50,-0.00284,20020510
-28.50,21.50,-0.00336,20020510
-28.50,22.50,-0.00153,20020510
-28.50,23.50,0.00229,20020510
-28.50,24.50,0.00716,20020510
-28.50,25.50,0.01187,20020510
-28.50,26.50,0.01528,20020510
-28.50,27.50,0.01651,20020510
-28.50,28.50,0.01505,20020510
-28.50,29.50,0.01076,20020510
-28.50,30.50,0.00384,20020510
-28.50,31.50,-0.00514,20020510
-28.50,32.50,-0.01526,20020510
-28.50,33.50,-0.02530,20020510
-28.50,34.50,-0.03393,20020510
-27.50,17.50,0.00896,20020510
-27.50,18.50,0.00765,20020510
-27.50,19.50,0.00505,20020510
-27.50,20.50,0.00245,20020510
-27.50,21.50,0.00117,20020510
-27.50,22.50,0.00214,20020510
-27.50,23.50,0.00566,20020510
-27.50,24.50,0.01123,20020510
-27.50,25.50,0.01768,20020510
-27.50,26.50,0.02344,20020510
-27.50,27.50,0.02693,20020510
-27.50,28.50,0.02700,20020510
-27.50,29.50,0.02315,20020510
-27.50,30.50,0.01568,20020510
-27.50,31.50,0.00558,20020510
-27.50,32.50,-0.00566,20020510
-27.50,33.50,-0.01641,20020510
-27.50,34.50,-0.02522,20020510
-27.50,35.50,-0.03109,20020510
-26.50,17.50,0.00831,20020510
-26.50,18.50,0.00818,20020510
-26.50,19.50,0.00678,20020510
-26.50,20.50,0.00516,20020510
-26.50,21.50,0.00453,20020510
-26.50,22.50,0.00598,20020510
-26.50,23.50,0.01006,20020510
-26.50,24.50,0.01650,20020510
-26.50,25.50,0.02410,20020510
-26.50,26.50,0.03106,20020510
-26.50,27.50,0.03541,20020510
-26.50,28.50,0.03569,20020510
-26.50,29.50,0.03140,20020510
-26.50,30.50,0.02313,20020510
-26.50,31.50,0.01235,20020510
-26.50,32.50,0.00100,20020510
-26.50,33.50,-0.00914,20020510
-26.50,34.50,-0.01677,20020510
-26.50,35.50,-0.02132,20020510
-26.50,36.50,-0.02286,20020510
-25.50,17.50,0.00414,20020510
-25.50,18.50,0.00422,20020510
-25.50,19.50,0.00387,20020510
-25.50,20.50,0.00392,20020510
-25.50,21.50,0.00519,20020510
-25.50,22.50,0.00840,20020510
-25.50,23.50,0.01384,20020510
-25.50,24.50,0.02109,20020510
-25.50,25.50,0.02892,20020510
-25.50,26.50,0.03554,20020510
-25.50,27.50,0.03913,20020510
-25.50,28.50,0.03851,20020510
-25.50,29.50,0.03353,20020510
-25.50,30.50,0.02518,20020510
-25.50,31.50,0.01524,20020510
-25.50,32.50,0.00560,20020510
-25.50,33.50,-0.00226,20020510
-25.50,34.50,-0.00765,20020510
-25.50,35.50,-0.01063,20020510
-25.50,36.50,-0.01173,20020510
-24.50,17.50,-0.00243,20020510
-24.50,18.50,-0.00312,20020510
-24.50,19.50,-0.00288,20020510
-24.50,20.50,-0.00107,20020510
-24.50,21.50,0.00261,20020510
