Coordinate,2018-06-16,2018-07-10,2018-10-31,2018-11-16,2018-12-16,2019-01-16,2019-02-14,2019-03-16,2019-04-16,2019-05-16,2019-06-16,2019-07-16,2019-08-16,2019-09-16,2019-10-16,2019-11-16,2019-12-16
"(-22.5, 26.5)",-0.02586,-0.02206,-0.04568,-0.05740,-0.05064,-0.02623,-0.03585,-0.03951,-0.02709,-0.05194,-0.07049,-0.07247,-0.06908,-0.05691,-0.07763,-0.08671,-0.04999
"(-22.5, 27.5)",-0.02307,-0.02111,-0.04937,-0.06308,-0.05542,-0.02858,-0.03622,-0.03456,-0.02495,-0.05001,-0.06944,-0.07270,-0.07144,-0.06337,-0.08001,-0.08859,-0.05587
"(-22.5, 28.5)",-0.01729,-0.01770,-0.05258,-0.06722,-0.06052,-0.03109,-0.03570,-0.02820,-0.02335,-0.04790,-0.06777,-0.07292,-0.07450,-0.07168,-0.08271,-0.09081,-0.06158
"(-22.5, 29.5)",-0.00983,-0.01281,-0.05499,-0.06986,-0.06565,-0.03401,-0.03456,-0.02237,-0.02329,-0.04650,-0.06634,-0.07348,-0.07787,-0.08046,-0.08632,-0.09421,-0.06659
"(-22.5, 30.5)",-0.00219,-0.00768,-0.05626,-0.07122,-0.07007,-0.03705,-0.03287,-0.01851,-0.02498,-0.04621,-0.06553,-0.07416,-0.08052,-0.08781,-0.09065,-0.09867,-0.07027
"(-22.5, 31.5)",0.00440,-0.00330,-0.05604,-0.07155,-0.07271,-0.03942,-0.03043,-0.01699,-0.02768,-0.04670,-0.06496,-0.07423,-0.08112,-0.09187,-0.09467,-0.10296,-0.07202
"(-22.5, 32.5)",0.00921,-0.00010,-0.05394,-0.07098,-0.07255,-0.04011,-0.02696,-0.01701,-0.02999,-0.04699,-0.06354,-0.07282,-0.07854,-0.09127,-0.09685,-0.10520,-0.07144
"(-22.5, 33.5)",0.01191,0.00207,-0.04978,-0.06954,-0.06900,-0.03837,-0.02236,-0.01699,-0.03034,-0.04597,-0.05989,-0.06917,-0.07223,-0.08549,-0.09572,-0.10362,-0.06844
"(-22.5, 34.5)",0.01240,0.00361,-0.04387,-0.06731,-0.06228,-0.03411,-0.01682,-0.01535,-0.02754,-0.04288,-0.05309,-0.06297,-0.06247,-0.07500,-0.09047,-0.09730,-0.06327
"(-22.5, 35.5)",0.01066,0.00487,-0.03716,-0.06464,-0.05348,-0.02796,-0.01085,-0.01114,-0.02127,-0.03769,-0.04317,-0.05443,-0.05032,-0.06123,-0.08133,-0.08660,-0.05655
"(-22.5, 36.5)",0.00675,0.00592,-0.03121,-0.06217,-0.04438,-0.02112,-0.00512,-0.00438,-0.01225,-0.03109,-0.03127,-0.04431,-0.03736,-0.04647,-0.06958,-0.07315,-0.04922
